ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-28T00:11:18Z,1,SKIP,SKIPPED,,,,,,,65915.85000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00151709 spread_bps=0.00150000
2026-02-28T00:11:25Z,2,SKIP,SKIPPED,,,,,,,65915.85000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.20 mkt_hz=0.10060000 struct_ok=false
2026-02-28T00:11:31Z,3,SKIP,SKIPPED,,,,,,,65915.85000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:11:38Z,4,SKIP,SKIPPED,,,,,,,65915.85000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:11:45Z,5,SKIP,SKIPPED,,,,,,,65925.41000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00151687 spread_bps=0.00150000
2026-02-28T00:11:53Z,6,SKIP,SKIPPED,,,,,,,65925.41000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:12:01Z,7,ENTRY,FILLED,7553462,0.00758000,499.97407120,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9999 radar_reason=ok resonance_mode=NORMAL resonance_side=LONG resonance_lock=0.70991394 resonance_gate=ok structure_dir=neutral trend_bps=0
2026-02-28T00:14:19Z,7,EXIT,FILLED,7554623,0.00758000,500.20548860,0.23141740,trailing_stop,138,65990.17000000,ok side=SELL mode=long_first soft=0
2026-02-28T00:14:27Z,8,SKIP,SKIPPED,,,,,,,65990.18000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:14:35Z,9,SKIP,SKIPPED,,,,,,,65990.18000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00151538 spread_bps=0.00150000
2026-02-28T00:14:41Z,10,SKIP,SKIPPED,,,,,,,65980.03000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:14:48Z,11,SKIP,SKIPPED,,,,,,,65980.03000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:14:57Z,12,ENTRY,FILLED,7554763,0.00484000,319.35346080,,,,,ok side=BUY mode=long_first mass=319.61875000 soft=0 radar_dir=long radar_conf=0.5304 radar_reason=ok resonance_mode=NORMAL resonance_side=SHORT resonance_lock=0.64900848 resonance_gate=ok structure_dir=neutral trend_bps=0
2026-02-28T00:18:26Z,12,EXIT,FILLED,7555877,0.00484000,318.86917040,-0.48429040,stop_loss,209,65882.07000000,ok side=SELL mode=long_first soft=0
2026-02-28T00:18:32Z,13,SKIP,SKIPPED,,,,,,,65882.07000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-28T00:18:39Z,14,SKIP,SKIPPED,,,,,,,65882.07000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
