run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_4h_1,2026-08-14T13:01:15Z,77,ALPHA_X13_BURST13,BUY,62723.10000000,62712.10000000,0.24870000,-1.75373985,-2.73570000,fluid_exit_inversion,10,13:01:04,13:01:14
Run_4h_1,2026-08-14T13:04:12Z,98,ALPHA_X13_BURST13,BUY,62691.50000000,62691.50000000,0.12440000,0.00000000,0.00000000,fluid_exit_inversion,8,13:04:04,13:04:12
Run_4h_1,2026-08-14T13:05:07Z,104,ALPHA_X13_BURST13,BUY,62692.90000000,62693.00000000,0.12440000,0.01595077,0.01244000,shock_inversion_stop,5,13:05:02,13:05:07
Run_4h_1,2026-08-14T13:05:57Z,109,ALPHA_X13_BURST13,BUY,62691.50000000,62695.90000000,0.24880000,0.70184953,1.09472000,shock_inversion_stop,5,13:05:51,13:05:56
Run_4h_1,2026-08-14T13:11:42Z,152,ALPHA_X13_BURST13,BUY,62687.10000000,62669.80000000,0.12440000,-2.75973845,-2.15212000,shock_inversion_stop,5,13:11:36,13:11:41
Run_4h_1,2026-08-14T13:13:18Z,163,ALPHA_X13_BURST13,BUY,62606.60000000,62612.40000000,0.12450000,0.92641990,0.72210000,shock_inversion_stop,5,13:13:12,13:13:17
Run_4h_1,2026-08-14T13:13:38Z,164,ALPHA_X13_BURST13,BUY,62616.10000000,62621.10000000,0.12450000,0.79851668,0.62250000,shock_inversion_stop,8,13:13:30,13:13:38
Run_4h_1,2026-08-14T13:15:38Z,178,ALPHA_X13_BURST13,BUY,62666.60000000,62669.60000000,0.08290000,0.47872391,0.24870000,shock_inversion_stop,5,13:15:32,13:15:37
Run_4h_1,2026-08-14T13:16:58Z,187,ALPHA_X13_BURST13,BUY,62650.40000000,62653.40000000,0.12450000,0.47884770,0.37350000,fluid_exit_inversion,5,13:16:52,13:16:57
Run_4h_1,2026-08-14T13:17:26Z,189,ALPHA_X13_BURST13,BUY,62667.30000000,62669.60000000,0.12440000,0.36701757,0.28612000,shock_inversion_stop,7,13:17:18,13:17:25
Run_4h_1,2026-08-14T13:18:05Z,193,ALPHA_X13_BURST13,BUY,62669.60000000,62669.60000000,0.12440000,0.00000000,0.00000000,shock_inversion_stop,5,13:18:00,13:18:05
Run_4h_1,2026-08-14T13:18:39Z,196,ALPHA_X13_BURST13,BUY,62658.30000000,62650.90000000,0.12440000,-1.18100874,-0.92056000,fluid_exit_inversion,5,13:18:33,13:18:38
Run_4h_1,2026-08-14T13:19:11Z,199,ALPHA_X13_BURST13,BUY,62648.90000000,62641.50000000,0.12450000,-1.18118594,-0.92130000,shock_inversion_stop,5,13:19:06,13:19:11
Run_4h_1,2026-08-14T13:23:43Z,232,ALPHA_X13_BURST13,BUY,62645.70000000,62646.60000000,0.20140000,0.14366509,0.18126000,shock_inversion_stop,10,13:23:32,13:23:42
Run_4h_1,2026-08-14T13:25:01Z,241,ALPHA_X13_BURST13,BUY,62688.10000000,62695.50000000,0.12440000,1.18044733,0.92056000,shock_inversion_stop,5,13:24:56,13:25:01
Run_4h_1,2026-08-14T13:26:14Z,249,ALPHA_X13_BURST13,BUY,62695.50000000,62698.10000000,0.12440000,0.41470281,0.32344000,fluid_exit_brake,6,13:26:08,13:26:14
Run_4h_1,2026-08-14T13:26:48Z,252,ALPHA_X13_BURST13,BUY,62698.20000000,62698.30000000,0.12440000,0.01594942,0.01244000,shock_inversion_stop,5,13:26:42,13:26:48
Run_4h_1,2026-08-14T13:33:53Z,306,ALPHA_X13_BURST13,BUY,62698.00000000,62698.00000000,0.24880000,0.00000000,0.00000000,shock_inversion_stop,4,13:33:48,13:33:53
Run_4h_1,2026-08-14T13:34:27Z,309,ALPHA_X13_BURST13,BUY,62698.00000000,62698.40000000,0.24880000,0.06379789,0.09952000,shock_inversion_stop,7,13:34:19,13:34:26
Run_4h_1,2026-08-14T13:36:16Z,322,ALPHA_X13_BURST13,BUY,62699.20000000,62698.40000000,0.12440000,-0.12759333,-0.09952000,shock_inversion_stop,5,13:36:10,13:36:15
Run_4h_1,2026-08-14T13:36:43Z,324,ALPHA_X13_BURST13,BUY,62702.00000000,62698.00000000,0.08290000,-0.63793818,-0.33160000,shock_inversion_stop,5,13:36:37,13:36:42
Run_4h_1,2026-08-14T13:37:24Z,328,ALPHA_X13_BURST13,BUY,62698.00000000,62698.00000000,0.08290000,0.00000000,0.00000000,shock_inversion_stop,5,13:37:19,13:37:24
Run_4h_1,2026-08-14T13:39:21Z,341,ALPHA_X13_BURST13,BUY,62708.30000000,62698.00000000,0.24870000,-1.64252579,-2.56161000,fluid_exit_inversion,5,13:39:15,13:39:21
Run_4h_1,2026-08-14T13:42:18Z,362,ALPHA_X13_BURST13,BUY,62630.70000000,62644.50000000,0.26860000,2.20339227,3.70668000,shock_inversion_stop,5,13:42:12,13:42:17
Run_4h_1,2026-08-14T13:42:45Z,364,ALPHA_X13_BURST13,BUY,62643.90000000,62630.70000000,0.12450000,-2.10714850,-1.64340000,shock_inversion_stop,6,13:42:39,13:42:45
