rank_cmc,symbol,name_hint
6,XRP,XRP
15,XLM,Stellar
17,CC,Canton
26,HBAR,Hedera
35,ONDO,Ondo
36,PAXG,PAX Gold
66,ALGO,Algorand
70,FIL,Filecoin
74,FLR,Flare
95,SEI,Sei
,CFX,Conflux
,KITE,Kite
,KAIA,Kaia
,ZBCN,Zebec Network
,TEL,Telcoin
,CFG,Centrifuge
,ZK,ZKsync
,KMNO,Kamino
,ZAMA,Zama
,SHX,Stronghold SHx
,BIO,Bio Protocol
,W,Wormhole
,LINEA,Linea
,CCD,Concordium
,ZIL,Zilliqa
,RED,RedStone
,ASTR,Astar
,XYO,XYO
,XAN,Anoma
,ALEO,Aleo
,QANX,QANplatform
,MTL,Metal DAO
,POKT,Pocket Network
,RIZE,RIZE
,STBL,STBL
,WECAN,Wecan Group
,MAV,Maverick Protocol
,EDEL,Edel
,XPLA,CONX / XPLA
,QAIT,QAIT
,VITA,VitaDAO
,GMEE,GAMEE
,NXRA,Nexera
,RWAINC,RWA Inc
,KIMA,Kima Network
,XCL,Xcellar
,AART,All.Art Protocol
,ROOT,The Root Network
,MAIV,Multi Asset Investment Vehicle
,EQTY,EQTY
,MFG,MFG (watch — pas de paire MEXC USDT au 2026-07)
,BSL,BSL (watch — pas de paire MEXC USDT au 2026-07)
,PYTH,Pyth Network
,QNT,Quant
,CHIP,CHIP
,FLUID,Fluid
,RWA,RWA (alt ticker MEXC — distinct RWAINC)
