ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-07-26T17:50:34Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:51:04Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:51:33Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:53:46Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:54:56Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:55:28Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:56:20Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:57:29Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T17:58:38Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:00:50Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:01:19Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:01:46Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:02:38Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:03:07Z,QAITUSDT,SKIP,COOLING,0.00688400,0.00688400,,0.0000,0.0000,4.54,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-26T18:03:38Z,QAITUSDT,BUY,COOLING,0.00688400,0.00688400,2905.28762347,0.0000,0.0000,4.54,cooling_dd15=36.2>=28.1
2026-07-26T20:42:27Z,RIZEUSDT,BUY,COOLING,0.00718900,0.00718900,2782.02809848,0.0000,0.0000,7.89,cooling_dd15=37.0>=17.3
2026-07-27T07:09:21Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:09:51Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:11:40Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:13:05Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T07:14:52Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:16:39Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T07:18:48Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:19:57Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:20:25Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:23:15Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:23:42Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:24:48Z,RWAINCUSDT,SKIP,IMPULSE,0.00288600,0.00288600,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T07:27:41Z,RWAINCUSDT,SKIP,IMPULSE,0.00287000,0.00287000,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T07:28:07Z,RWAINCUSDT,SKIP,IMPULSE,0.00287000,0.00287000,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T07:29:13Z,RWAINCUSDT,SKIP,IMPULSE,0.00287000,0.00287000,,0.0000,0.0000,22.17,SKIP_VEILLE_RED:IMPULSE_WAIT
2026-07-27T07:31:30Z,RWAINCUSDT,BUY,IMPULSE,0.00287000,0.00287000,6968.64111498,0.0000,0.0000,22.17,impulse_pullback_dd6=12.0>=11.1 m6=25.4
2026-07-27T12:34:04Z,REDUSDT,BUY,COOLING,0.09691000,0.09691000,206.37705087,0.0000,0.0000,3.46,cooling_dd15=19.8>=8.0
2026-07-27T13:36:47Z,QAITUSDT,SELL,COOLING,0.00646400,0.00688400,2905.28762347,-1.2202,-1.2202,4.54,stop-6.0%_avant_2x
2026-07-27T13:37:42Z,QAITUSDT,SKIP,IMPULSE,0.00644500,0.00644500,,0.0000,-1.2202,7.72,SKIP_COOLDOWN:stop@2026-07-27T13:36:47Z count=1 left≈119m
2026-07-27T13:38:10Z,QAITUSDT,SKIP,IMPULSE,0.00643000,0.00643000,,0.0000,-1.2202,7.72,SKIP_COOLDOWN:stop@2026-07-27T13:36:47Z count=1 left≈119m
2026-07-27T14:38:21Z,CHIPUSDT,SKIP,COOLING,0.02752000,0.02752000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T14:38:50Z,CHIPUSDT,SKIP,COOLING,0.02753000,0.02753000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T14:39:17Z,CHIPUSDT,SKIP,COOLING,0.02753000,0.02753000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T14:40:11Z,CHIPUSDT,SKIP,COOLING,0.02756000,0.02756000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
2026-07-27T14:40:39Z,CHIPUSDT,SKIP,COOLING,0.02753000,0.02753000,,0.0000,-1.2202,5.47,SKIP_VEILLE_RED:WATCH_PULLBACK
