symbol,pair,on_mexc,quote_vol_usdt,spread_bps,last,tier,note
BTC,BTCUSDT,1,621752638,0.01,80786.51,A,banc_de_preuve_indices_onchain
ETH,ETHUSDT,1,435566750,0.05,2532.67,A,banc_de_preuve_indices_onchain
XRP,XRPUSDT,1,20461826.64,0.88,1.1324,A,ok
FIL,FILUSDT,1,2236945.88,3.9,0.7689,A,ok
ONDO,ONDOUSDT,1,962488.47,3.27,0.39707,A,ok
HBAR,HBARUSDT,1,723553.45,7.16,0.06978,A,ok
XLM,XLMUSDT,1,609448.93,5.3,0.1886,A,ok
ZBCN,ZBCNUSDT,1,235090.11,24.28,0.0020159,A,ok
ZAMA,ZAMAUSDT,1,215622.51,2.43,0.04121,A,ok
FLR,FLRUSDT,1,196169.79,4.47,0.006711,A,ok
W,WUSDT,1,187676.04,15.39,0.009094,A,ok
CC,CCUSDT,1,186989.05,5.61,0.12468,A,ok
SHX,SHXUSDT,1,183649.17,32.98,0.003943,A,ok
XAN,XANUSDT,1,149068.22,24.13,0.01037,A,ok
SEI,SEIUSDT,1,109174.15,2.18,0.04595,A,ok
RWAINC,RWAINCUSDT,1,97920.88,7.29,0.002772,A,ok
CFG,CFGUSDT,1,92109.18,5.47,0.1828,A,ok
TEL,TELUSDT,1,87622.08,26.99,0.001852,A,ok
BIO,BIOUSDT,1,87162.88,7.47,0.02683,A,ok
LINEA,LINEAUSDT,1,84207.76,4.1,0.002441,A,ok
ZK,ZKUSDT,1,83524.2,13.79,0.009424,A,ok
KAIA,KAIAUSDT,1,83176.9,15.58,0.03208,A,ok
ZIL,ZILUSDT,1,79576.94,7.98,0.002506,A,ok
ALEO,ALEOUSDT,1,73678.61,16.62,0.01806,A,ok
STBL,STBLUSDT,1,72908.08,22.89,0.02185,A,ok
ALGO,ALGOUSDT,1,68564.0,15.6,0.08337,A,ok
QAIT,QAITUSDT,1,67012.93,326.77,0.0079,B,low_liq_or_wide_spread_spike_candidate
KITE,KITEUSDT,1,66849.05,9.41,0.11695,A,ok
GMEE,GMEEUSDT,1,62371.25,36.58,0.0013149,A,ok
CCD,CCDUSDT,1,62275.58,17.5,0.004001,A,ok
CFX,CFXUSDT,1,59708.7,4.37,0.0457,A,ok
MAV,MAVUSDT,1,57937.16,8.02,0.00873,A,ok
RED,REDUSDT,1,55964.79,7.0,0.09996,A,ok
KMNO,KMNOUSDT,1,55839.42,10.95,0.01826,A,ok
ASTR,ASTRUSDT,1,55576.8,5.83,0.005143,A,ok
XYO,XYOUSDT,1,54564.35,66.01,0.00303,A,ok
RIZE,RIZEUSDT,1,42983.46,58.94,0.008337,B,low_liq_or_wide_spread_spike_candidate
EDEL,EDELUSDT,1,36559.08,21.57,0.00926,B,low_liq_or_wide_spread_spike_candidate
POKT,POKTUSDT,1,3340.14,93.83,0.007597,B,low_liq_or_wide_spread_spike_candidate
NXRA,NXRAUSDT,1,180.43,13.25,0.001509,B,low_liq_or_wide_spread_spike_candidate
AART,,0,0,,,C,no_USDT_pair
EQTY,,0,0,,,C,no_USDT_pair
KIMA,,0,0,,,C,no_USDT_pair
MAIV,,0,0,,,C,no_USDT_pair
MTL,,0,0,,,C,no_USDT_pair
PAXG,,0,0,,,C,no_USDT_pair
QANX,,0,0,,,C,no_USDT_pair
ROOT,,0,0,,,C,no_USDT_pair
VITA,,0,0,,,C,no_USDT_pair
WECAN,,0,0,,,C,no_USDT_pair
XCL,,0,0,,,C,no_USDT_pair
XPLA,,0,0,,,C,no_USDT_pair
