ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,delay_s,price
2026-08-16T20:50:53Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,62.26,0.0,1028.42,503.84,True,False,1.21,0.005142
2026-08-16T20:50:55Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.41,0.0,1273.94,1891.85,True,False,0.937,0.09517
2026-08-16T20:50:59Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.1,0.0,2092.85,5820.79,True,False,2.007,0.02442
2026-08-16T20:51:01Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,48.29,0.0,2661.77,1017.53,True,False,1.094,0.001449
2026-08-16T20:51:03Z,CHIPUSDT,IMPULSE,BUY,30.14,37.28,37.28,3.39,-3.38,33416.67,31803.04,True,False,1.003,0.02955
2026-08-16T20:53:02Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,33.12,-87.15,1018.6,503.84,True,False,0.942,0.005186
2026-08-16T20:53:04Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.35,0.0,1430.13,1278.76,True,False,0.996,0.09517
2026-08-16T20:53:08Z,BIOUSDT,COOLING,NONE,-0.02,0.0,0.0,8.2,4.1,2520.17,4024.06,True,False,1.977,0.02439
2026-08-16T20:53:11Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.41,0.0,2668.13,1017.53,True,False,1.003,0.00145
2026-08-16T20:53:14Z,CHIPUSDT,IMPULSE,SELL,1.24,-4.59,1.24,3.39,-3.39,38579.75,17651.88,True,False,2.011,0.02948
2026-08-16T20:55:07Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1008.08,503.84,True,False,2.081,0.005155
2026-08-16T20:55:10Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,8.41,0.0,1430.19,1278.76,True,False,0.997,0.09518
2026-08-16T20:55:12Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.1,0.0,2630.97,3696.49,True,False,1.004,0.02437
2026-08-16T20:55:15Z,TELUSDT,COOLING,SELL,66.11,0.0,66.11,41.41,0.0,3532.89,1017.53,True,False,1.013,0.001449
2026-08-16T20:55:16Z,CHIPUSDT,IMPULSE,BUY,-13.11,0.39,0.39,3.39,0.0,31141.68,32605.56,True,False,1.06,0.02956
2026-08-16T20:57:12Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1004.46,503.84,True,False,0.923,0.005161
2026-08-16T20:57:15Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.3,0.0,1822.88,1278.62,True,False,1.001,0.09518
2026-08-16T20:57:19Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.21,0.0,2105.59,5638.09,True,False,0.998,0.02437
2026-08-16T20:57:21Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.41,0.0,2663.22,1017.53,True,False,0.971,0.001448
2026-08-16T20:57:23Z,CHIPUSDT,IMPULSE,NONE,0.0,0.0,0.0,3.39,0.0,35572.76,31149.67,True,False,0.933,0.02949
2026-08-16T20:59:24Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1013.64,503.84,True,False,0.969,0.005152
2026-08-16T20:59:27Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,6.3,0.0,1274.47,1579.03,True,False,0.915,0.09523
2026-08-16T20:59:29Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,8.21,4.1,2444.18,4607.71,True,False,0.997,0.02436
2026-08-16T20:59:32Z,TELUSDT,COOLING,BUY,0.0,26.65,26.65,34.52,0.0,3122.75,1017.53,True,True,2.037,0.001448
2026-08-16T20:59:34Z,CHIPUSDT,IMPULSE,NONE,0.0,-35.2,0.0,3.39,0.0,37042.5,26094.23,True,False,0.977,0.02952
2026-08-16T21:01:25Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,60.13,0.0,1018.57,503.84,True,False,1.971,0.005152
