ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,delay_s,price
2026-08-16T21:22:55Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1002.37,216.47,True,False,0.0,1.969,0.005233
2026-08-16T21:22:57Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.28,1728.94,True,False,0.0,0.918,0.09534
2026-08-16T21:22:59Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,2916.99,4242.39,True,False,0.0,0.985,0.02421
2026-08-16T21:23:01Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.55,0.0,2822.98,541.0,True,False,0.0,1.128,0.001446
2026-08-16T21:23:03Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.4,0.0,802.51,843.22,True,False,0.0,0.963,0.00768
2026-08-16T21:23:35Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1002.37,216.47,True,False,0.0,1.01,0.005234
2026-08-16T21:23:37Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.24,1281.26,True,False,0.0,0.98,0.09535
2026-08-16T21:23:39Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,2916.99,4244.77,True,False,0.0,1.085,0.02422
2026-08-16T21:23:41Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,41.55,0.0,2822.98,426.47,True,False,0.0,1.019,0.001444
2026-08-16T21:23:43Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,65.75,0.0,849.54,843.22,True,False,0.0,1.114,0.00762
2026-08-16T21:24:15Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1019.01,216.47,True,False,0.0,0.931,0.005238
2026-08-16T21:24:18Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.24,1281.26,True,False,0.0,0.987,0.09535
2026-08-16T21:24:20Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.13,0.0,3276.53,4407.34,True,False,0.0,1.474,0.02421
2026-08-16T21:24:22Z,TELUSDT,COOLING,SELL,5.73,0.0,5.73,13.88,-6.93,2633.56,1261.67,True,False,-0.0347,0.941,0.001444
2026-08-16T21:24:24Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,78.84,-13.2,849.45,893.77,True,False,0.0657,0.993,0.00756
2026-08-16T21:25:18Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1018.97,216.47,True,False,0.0,1.993,0.005241
2026-08-16T21:25:22Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.24,1281.26,True,False,0.0,1.926,0.09534
2026-08-16T21:25:26Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.14,0.0,2491.36,4374.74,True,False,0.0,1.047,0.02418
2026-08-16T21:25:30Z,TELUSDT,COOLING,SELL,1.25,0.0,1.25,34.78,0.0,3446.29,876.93,True,False,0.0,2.047,0.001437
2026-08-16T21:25:32Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,78.84,-13.2,849.59,893.77,True,False,0.0657,0.981,0.00764
2026-08-16T21:26:07Z,RIZEUSDT,COOLING,NONE,0.0,0.0,0.0,59.23,0.0,1018.97,216.47,True,False,0.0,1.957,0.005244
2026-08-16T21:26:09Z,CCUSDT,COOLING,NONE,0.0,0.0,0.0,7.34,0.0,1276.24,1281.26,True,False,0.0,1.074,0.09532
2026-08-16T21:26:12Z,BIOUSDT,COOLING,NONE,0.0,0.0,0.0,4.14,0.0,3791.66,4374.74,True,False,0.0,0.93,0.02418
2026-08-16T21:26:15Z,TELUSDT,COOLING,NONE,0.0,0.0,0.0,20.86,-13.93,3358.38,876.93,True,False,0.0696,2.033,0.001438
2026-08-16T21:26:17Z,EDELUSDT,COOLING,NONE,0.0,0.0,0.0,92.04,0.0,849.62,893.77,True,False,0.0,1.042,0.00756
