SOURCE : cadence écrite PAR LE MOTEUR (colonne 9) + chemin de prix dense
seuil exigé = 0,85 × max(dip_pct ; 0.5 × cadence ; 5 ; 0.30 × m6)

paire       cadence  dip exigé   seuil  jambes  inaccess.   part  PnL réalisé  qui décide
EDEL          26.4%     13.20%  11.22%       1          0     0%       +5.78 $  cadence
RIZE          16.9%      8.44%   7.17%       4          4   100%       -1.12 $  cadence
CHIP          13.4%      6.69%   5.69%       2          0     0%       +9.49 $  cadence
RED           10.1%      5.03%   4.27%       1          0     0%      +12.30 $  cadence
PYTH           9.4%      4.70%   3.99%       1          0     0%       +3.27 $  plancher
BIO            6.6%      4.00%   3.40%       1          0     0%       -0.97 $  plancher
CC             6.5%      4.00%   3.40%       0          0     0%       -1.25 $  plancher
HBAR           5.0%      4.00%   3.40%       1          0     0%       +4.28 $  plancher
KITE           7.3%      4.00%   3.40%       1          0     0%       +4.24 $  plancher
RWAINC         6.5%      4.00%   3.40%       1          0     0%       -0.83 $  plancher
TEL            7.2%      4.00%   3.40%       1          0     0%       +4.54 $  plancher
W              7.0%      4.00%   3.40%       1          0     0%       +1.29 $  plancher
XRP            5.7%      4.00%   3.40%       1          0     0%       +0.83 $  plancher
ZBCN           7.2%      4.00%   3.40%       0          0     0%       +0.50 $  plancher
FLUID          5.3%      2.66%   2.26%       1          0     0%       -1.53 $  plancher
ETH            3.2%      2.50%   2.12%       0          0     0%       +2.33 $  plancher
QNT            4.6%      2.29%   1.94%       1          1   100%       +0.37 $  plancher
BTC            2.6%      2.00%   1.70%       0          0     0%       +2.71 $  plancher
MNSRY          2.6%      1.28%   1.09%       0          0     0%       +0.00 $  plancher
RWA            2.4%      1.19%   1.01%       0          0     0%       +0.36 $  plancher

  ⚠️ PORTÉE : jambe ≥ 20 % détectée par zigzag (seuil d'AFFICHAGE) ; inaccessibles =
     repli offert < repli exigé. Le PnL réalisé vient du journal du run (une seule vérité).
