ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-28T01:24:47Z,ADAUSDT,OBS,SELL,37.87,0.0,37.87,4.62,0.0,153871.19,162647.48,True,False,0.0,81009.99,0.0,0.745,0.2169
2026-08-28T01:24:49Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.31,0.0,56983.07,68485.44,True,False,0.0,81009.99,0.0,0.79,0.1883
2026-08-28T01:24:50Z,SOLUSDT,OBS,BUY,0.0,5.54,5.54,0.91,-0.0,426124.0,471467.95,True,False,0.0091,81009.99,0.0,0.762,109.49
2026-08-28T01:24:51Z,ZAMAUSDT,OBS,BUY,0.0,46.45,46.45,1.8,-1.8,3733.69,3583.22,True,False,-0.009,81009.99,0.0,0.701,0.05552
2026-08-28T01:24:53Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.04,0.0,29649.43,30697.84,True,False,0.0,81009.99,0.0,0.734,4585.4
2026-08-28T01:24:57Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,14.14,0.0,43682.55,63695.05,True,False,0.0,81009.99,0.0,1.721,0.09191
2026-08-28T01:24:59Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,14.04,0.0,5706.83,751.75,True,False,0.0,81009.99,0.0,0.746,0.0712
2026-08-28T01:25:03Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,14.28,0.0,2923.21,2680.17,True,False,0.0,81009.99,0.0,1.727,0.02801
2026-08-28T01:25:05Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,7.89,0.0,2234.92,1392.12,True,False,0.0,81009.99,0.0,0.824,63.41
2026-08-28T01:25:07Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,28.9,0.0,10143.52,8319.78,True,False,0.0,81009.99,0.0,0.77,0.004855
