ts_entree,prix_entree,ts_sortie,prix_sortie,notional,pnl_usd,pnl_pct,raison_sortie,score_entree,detail_signal
2026-08-31T09:00:00+00:00,100.0,2026-08-31T09:20:04+00:00,98.0,5.0,0.1,2.0,TP,6,test
2026-08-31T09:00:00+00:00,100.0,2026-08-31T09:20:04+00:00,101.5,5.0,-0.075,-1.5,SL,6,test
2026-08-31T09:00:00+00:00,100.0,2026-08-31T09:20:04+00:00,100.0,5.0,0.0,0.0,SIGNAL_ETEINT,6,test
2026-08-31T09:00:00+00:00,100.0,2026-08-31T09:20:12+00:00,100.0,5.0,0.0,0.0,TIME_OUT,6,test
2026-08-31T09:19:52+00:00,78690.31,2026-09-01T09:24:40+00:00,77951.53,5.0,0.0469,0.939,TIME_OUT,5,score 5 = contexte 2 (corr_dir -0.12) + surchauffe 2 (40% paires >3.0%) + btc 1 (m6 1.7%) + momentum 0 (24h +0.77%)
2026-09-01T09:29:42+00:00,77956.67,2026-09-02T09:31:06+00:00,76755.01,5.0,0.0771,1.541,TIME_OUT,5,score 5 = contexte 2 (corr_dir -0.12) + surchauffe 2 (40% paires >3.0%) + btc 1 (m6 1.83%) + momentum 0 (24h -0.91%)
2026-09-02T09:36:09+00:00,76706.0,2026-09-03T02:54:55+00:00,77872.12,5.0,-0.076,-1.52,SL,5,score 5 = contexte 2 (corr_dir -0.14) + surchauffe 2 (45% paires >3.0%) + btc 1 (m6 1.48%) + momentum 0 (24h -1.58%)
2026-09-03T08:03:47+00:00,77728.48,2026-09-03T14:13:45+00:00,78926.27,5.0,-0.077,-1.541,SL,5,score 5 = contexte 2 (corr_dir -0.13) + surchauffe 2 (40% paires >3.0%) + btc 1 (m6 1.38%) + momentum 0 (24h +0.39%)
2026-09-03T14:18:50+00:00,79115.24,2026-09-03T14:49:27+00:00,80371.07,5.0,-0.0794,-1.587,SL,7,score 7 = contexte 2 (corr_dir -0.13) + surchauffe 2 (45% paires >3.0%) + btc 2 (m6 2.04%) + momentum 1 (24h +2.42%)
2026-09-03T14:54:34+00:00,80244.78,2026-09-03T19:24:19+00:00,81546.54,5.0,-0.0811,-1.622,SL,9,score 9 = contexte 2 (corr_dir -0.13) + surchauffe 3 (60% paires >3.0%) + btc 2 (m6 3.86%) + momentum 2 (24h +4.07%)
2026-09-04T08:02:03+00:00,80655.0,2026-09-04T14:48:47+00:00,78824.49,5.0,0.1135,2.27,TP,6,score 6 = contexte 3 (corr_dir -0.2) + surchauffe 1 (30% paires >3.0%) + btc 0 (m6 0.86%) + momentum 2 (24h +3.77%)
2026-09-04T14:53:52+00:00,78905.91,2026-09-05T14:54:46+00:00,79752.99,5.0,-0.0537,-1.074,TIME_OUT,8,score 8 = contexte 3 (corr_dir -0.21) + surchauffe 3 (90% paires >3.0%) + btc 2 (m6 3.47%) + momentum 0 (24h -1.58%)
