ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T12:27:10Z,1,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:12Z,2,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:15Z,3,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:17Z,4,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:20Z,5,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:23Z,6,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:25Z,7,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:28Z,8,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:30Z,9,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:33Z,10,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:36Z,11,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:38Z,12,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:41Z,13,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:44Z,14,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:46Z,15,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:49Z,16,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:52Z,17,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:55Z,18,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:27:57Z,19,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:00Z,20,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:02Z,21,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:05Z,22,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=1.5,0,
2026-08-22T12:28:08Z,23,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=1.5,0,
2026-08-22T12:28:10Z,24,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:13Z,25,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
2026-08-22T12:28:15Z,26,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.7,0,
