ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,msg
2026-02-25T23:50:17Z,1,BUY,FILLED,6633754,0.00017000,11.51099070,,ok
2026-02-25T23:50:18Z,1,SELL,FILLED,6633758,0.00017000,11.51098900,-0.00000170,ok
2026-02-25T23:50:29Z,2,BUY,FILLED,6633835,0.00017000,11.52063820,,ok
2026-02-25T23:50:30Z,2,SELL,FILLED,6633837,0.00017000,11.52063650,-0.00000170,ok
2026-02-25T23:50:41Z,3,BUY,FILLED,6633918,0.00017000,11.52115840,,ok
2026-02-25T23:50:42Z,3,SELL,FILLED,6633924,0.00017000,11.52115670,-0.00000170,ok
2026-02-25T23:50:53Z,4,BUY,FILLED,6633996,0.00017000,11.52167010,,ok
2026-02-25T23:50:54Z,4,SELL,FILLED,6634002,0.00017000,11.52115670,-0.00051340,ok
2026-02-25T23:51:05Z,5,BUY,FILLED,6634109,0.00017000,11.52997970,,ok
2026-02-25T23:51:06Z,5,SELL,FILLED,6634115,0.00017000,11.52997800,-0.00000170,ok
2026-02-25T23:51:17Z,6,BUY,FILLED,6634211,0.00017000,11.53435890,,ok
2026-02-25T23:51:18Z,6,SELL,FILLED,6634216,0.00017000,11.53435720,-0.00000170,ok
2026-02-25T23:51:29Z,7,BUY,FILLED,6634242,0.00017000,11.53435890,,ok
2026-02-25T23:51:30Z,7,SELL,FILLED,6634245,0.00017000,11.53435720,-0.00000170,ok
2026-02-25T23:51:41Z,8,BUY,FILLED,6634322,0.00017000,11.53511200,,ok
2026-02-25T23:51:42Z,8,SELL,FILLED,6634328,0.00017000,11.53511030,-0.00000170,ok
2026-02-25T23:51:53Z,9,BUY,FILLED,6634385,0.00017000,11.53570530,,ok
2026-02-25T23:51:54Z,9,SELL,FILLED,6634389,0.00017000,11.53570360,-0.00000170,ok
2026-02-25T23:52:05Z,10,BUY,FILLED,6634410,0.00017000,11.53570530,,ok
2026-02-25T23:52:06Z,10,SELL,FILLED,6634420,0.00017000,11.53570360,-0.00000170,ok
2026-02-25T23:52:17Z,11,BUY,FILLED,6634531,0.00017000,11.53825020,,ok
2026-02-25T23:52:18Z,11,SELL,FILLED,6634534,0.00017000,11.53824850,-0.00000170,ok
2026-02-25T23:52:29Z,12,BUY,FILLED,6634631,0.00017000,11.53858340,,ok
2026-02-25T23:52:30Z,12,SELL,FILLED,6634634,0.00017000,11.53858170,-0.00000170,ok
2026-02-25T23:52:41Z,13,BUY,FILLED,6634659,0.00017000,11.53858340,,ok
2026-02-25T23:52:42Z,13,SELL,FILLED,6634664,0.00017000,11.53858170,-0.00000170,ok
2026-02-25T23:52:53Z,14,BUY,FILLED,6634794,0.00017000,11.54876130,,ok
2026-02-25T23:52:54Z,14,SELL,FILLED,6634799,0.00017000,11.54875960,-0.00000170,ok
2026-02-25T23:53:05Z,15,BUY,FILLED,6634901,0.00017000,11.55382560,,ok
2026-02-25T23:53:06Z,15,SELL,FILLED,6634907,0.00017000,11.55382390,-0.00000170,ok
2026-02-25T23:53:16Z,16,BUY,FILLED,6634952,0.00017000,11.55382560,,ok
2026-02-25T23:53:53Z,1,BUY,FILLED,6635142,0.00017000,11.54929170,,ok
2026-02-25T23:53:54Z,1,SELL,FILLED,6635191,0.00017000,11.55149830,0.00220660,ok
2026-02-25T23:54:05Z,2,BUY,FILLED,6635229,0.00017000,11.55150000,,ok
2026-02-25T23:54:06Z,2,SELL,FILLED,6635234,0.00017000,11.55149830,-0.00000170,ok
2026-02-25T23:54:17Z,3,BUY,FILLED,6635336,0.00017000,11.55633480,,ok
2026-02-25T23:54:18Z,3,SELL,FILLED,6635338,0.00017000,11.55633310,-0.00000170,ok
2026-02-25T23:54:29Z,4,BUY,FILLED,6635396,0.00017000,11.55082850,,ok
2026-02-25T23:54:30Z,4,SELL,FILLED,6635402,0.00017000,11.55082680,-0.00000170,ok
2026-02-25T23:54:40Z,5,BUY,FILLED,6635440,0.00017000,11.55082850,,ok
2026-02-25T23:54:41Z,5,SELL,FILLED,6635442,0.00017000,11.55082680,-0.00000170,ok
2026-02-25T23:54:52Z,6,BUY,FILLED,6635507,0.00017000,11.54861170,,ok
2026-02-25T23:54:53Z,6,SELL,FILLED,6635513,0.00017000,11.54861000,-0.00000170,ok
2026-02-25T23:55:04Z,7,BUY,FILLED,6635590,0.00017000,11.55468240,,ok
2026-02-25T23:55:05Z,7,SELL,FILLED,6635599,0.00017000,11.55468070,-0.00000170,ok
2026-02-25T23:55:16Z,8,BUY,FILLED,6635649,0.00017000,11.55468240,,ok
2026-02-25T23:55:17Z,8,SELL,FILLED,6635652,0.00017000,11.55468070,-0.00000170,ok
2026-02-25T23:55:28Z,9,BUY,FILLED,6635738,0.00017000,11.55128410,,ok
2026-02-25T23:55:29Z,9,SELL,FILLED,6635750,0.00017000,11.55128240,-0.00000170,ok
2026-02-25T23:55:40Z,10,BUY,FILLED,6635844,0.00017000,11.54690830,,ok
2026-02-25T23:55:41Z,10,SELL,FILLED,6635850,0.00017000,11.54690660,-0.00000170,ok
2026-02-25T23:55:52Z,11,BUY,FILLED,6635887,0.00017000,11.54690830,,ok
2026-02-25T23:55:53Z,11,SELL,FILLED,6635892,0.00017000,11.54690660,-0.00000170,ok
2026-02-25T23:56:04Z,12,BUY,FILLED,6635973,0.00017000,11.54810340,,ok
2026-02-25T23:56:05Z,12,SELL,FILLED,6635975,0.00017000,11.54810170,-0.00000170,ok
