model_file,start_utc,end_utc,tag,pnl_total_usdt,status,notes
MODELE_MASTER_BASE_20260309_220324_4H.sh,2026-03-09T22:03:24Z,2026-03-10T02:03:24Z,MASTER_BASE_V8_5_IMPACT_4H,A_VERIFIER,ARCHIVE_REFERENCE,"Modele archive avec description cycle conservee"
MODELE_VIDE_FROID_8H_20260310_231016.sh,2026-03-10T23:10:16Z,2026-03-11T07:10:16Z,MASTER_BASE_V8_5_IMPACT_8H00,17.6229,VALIDE_BASE_TRAVAIL,"BETA=+17.6229 ALPHA=0.0000 TOTAL=+17.6229"
vide_froid_binance,2026-03-12T11:46:21Z,2026-03-13T10:05:55Z,MASTER_BASE_V8_5_IMPACT_8H00,0.4601,POSITIF,BETA=-0.6115 ALPHA=+1.0716 TOTAL=+0.4601,RAPPORT_PNL_AUTO_20260708_052046.md
vide_froid_binance,2026-03-10T11:09:28Z,2026-07-08T09:41:42Z,MASTER_BASE_V8_5_IMPACT_4H00,6.4489,POSITIF,BETA=+14.9432 ALPHA=-8.4943 TOTAL=+6.4489,RAPPORT_PNL_AUTO_20260708_094144.md
vide_froid_binance,2026-07-08T09:54:43Z,2026-07-08T16:04:54Z,MASTER_BASE_V8_5_IMPACT_C2,-4.5289,NEGATIF,BETA=-0.5816 ALPHA=-3.9473 TOTAL=-4.5289,RAPPORT_PNL_AUTO_20260708_160457.md
config_active,2026-07-08T09:54:43Z,2026-07-08T16:17:55Z,MASTER_BASE_V8_5_IMPACT_C2,-1.2774,NEGATIF,BETA=-0.4741 ALPHA=-0.8033 TOTAL=-1.2774,RAPPORT_PNL_AUTO_20260708_161759.md
vide_froid_binance,2026-07-08T09:54:43Z,2026-07-08T16:23:27Z,MASTER_BASE_V8_5_IMPACT_C2,-0.1669,NEGATIF,BETA=-0.6751 ALPHA=+0.5082 TOTAL=-0.1669,RAPPORT_PNL_AUTO_20260708_162333.md
config_active,2026-07-08T16:25:36Z,2026-07-08T20:25:13Z,MASTER_HYBRID_VF_20260708,-5.0705,NEGATIF,BETA=-1.4941 ALPHA=-3.5764 TOTAL=-5.0705,RAPPORT_PNL_AUTO_20260708_202705.md
vide_froid_vortex_v2_collab,2026-07-08T20:52:31Z,2026-07-08T21:05:08Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260708_210515.md
vide_froid_binance,2026-07-08T21:07:57Z,2026-07-08T21:31:04Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0318,NEGATIF,BETA=-0.0318 ALPHA=+0.0000 TOTAL=-0.0318,RAPPORT_PNL_AUTO_20260708_213117.md
vide_froid_vortex_v2_collab,2026-07-08T21:31:33Z,2026-07-09T01:31:24Z,MASTER_VORTEX_V2_COLLAB_4H,0.2174,POSITIF,BETA=+1.5790 ALPHA=-1.3616 TOTAL=+0.2174,RAPPORT_PNL_AUTO_20260709_013126.md
vide_froid_vortex_v2_collab,2026-07-09T06:46:23Z,2026-07-09T10:48:15Z,MASTER_VORTEX_V2_COLLAB_4H,13.1023,POSITIF,BETA=+2.2534 ALPHA=+10.8490 TOTAL=+13.1023,RAPPORT_PNL_AUTO_20260709_104817.md
vide_froid_binance,2026-07-09T11:23:27Z,2026-07-09T11:31:01Z,MASTER_VORTEX_V2_COLLAB_4H,0.5418,POSITIF,BETA=+0.1562 ALPHA=+0.3856 TOTAL=+0.5418,RAPPORT_PNL_AUTO_20260709_113110.md
vide_froid_vortex_v2_collab,2026-07-09T11:33:40Z,2026-07-09T16:40:06Z,MASTER_VORTEX_V2_COLLAB_4H,2.0480,POSITIF,BETA=+0.4124 ALPHA=+1.6356 TOTAL=+2.0480,RAPPORT_PNL_AUTO_20260709_164009.md
vide_froid_binance,2026-07-09T11:33:40Z,2026-07-09T16:40:06Z,MASTER_VORTEX_V2_COLLAB_4H,2.0480,POSITIF,BETA=+0.4124 ALPHA=+1.6356 TOTAL=+2.0480,RAPPORT_PNL_AUTO_20260709_165903.md
vide_froid_binance,2026-07-09T17:00:27Z,2026-07-09T17:10:18Z,MASTER_VORTEX_V2_COLLAB_4H,-0.4158,NEGATIF,BETA=-0.4952 ALPHA=+0.0794 TOTAL=-0.4158,RAPPORT_PNL_AUTO_20260709_181251.md
vide_froid_binance,2026-07-09T17:00:27Z,2026-07-09T17:10:18Z,MASTER_VORTEX_V2_COLLAB_4H,-0.4158,NEGATIF,BETA=-0.4952 ALPHA=+0.0794 TOTAL=-0.4158,RAPPORT_PNL_AUTO_20260709_181312.md
vide_froid_binance,2026-07-09T17:00:27Z,2026-07-09T17:10:18Z,MASTER_VORTEX_V2_COLLAB_4H,-0.4158,NEGATIF,BETA=-0.4952 ALPHA=+0.0794 TOTAL=-0.4158,RAPPORT_PNL_AUTO_20260709_181506.md
vide_froid_binance,2026-07-09T18:15:20Z,2026-07-09T18:17:16Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260709_181718.md
vide_froid_binance,2026-07-09T18:17:23Z,2026-07-09T18:31:05Z,MASTER_VORTEX_V2_COLLAB_4H,-0.1563,NEGATIF,BETA=+0.1591 ALPHA=-0.3154 TOTAL=-0.1563,RAPPORT_PNL_AUTO_20260709_183850.md
vide_froid_binance,2026-07-09T18:39:02Z,2026-07-09T18:53:20Z,MASTER_VORTEX_V2_COLLAB_4H,2.4262,POSITIF,BETA=-0.7486 ALPHA=+3.1748 TOTAL=+2.4262,RAPPORT_PNL_AUTO_20260709_185325.md
vide_froid_binance,2026-07-09T18:53:57Z,2026-07-09T19:04:08Z,MASTER_VORTEX_V2_COLLAB_4H,-0.8563,NEGATIF,BETA=-0.0307 ALPHA=-0.8256 TOTAL=-0.8563,RAPPORT_PNL_AUTO_20260709_190951.md
vide_froid_binance,2026-07-09T19:10:03Z,2026-07-09T19:24:00Z,MASTER_VORTEX_V2_COLLAB_4H,-1.9055,NEGATIF,BETA=-0.0947 ALPHA=-1.8108 TOTAL=-1.9055,RAPPORT_PNL_AUTO_20260709_194101.md
vide_froid_vortex_v2_collab,2026-07-09T19:41:12Z,2026-07-09T20:37:29Z,MASTER_VORTEX_V2_COLLAB_4H,1.9818,POSITIF,BETA=+0.6738 ALPHA=+1.3080 TOTAL=+1.9818,RAPPORT_PNL_AUTO_20260709_203732.md
vide_froid_binance,2026-07-09T19:41:12Z,2026-07-09T20:37:29Z,MASTER_VORTEX_V2_COLLAB_4H,1.9818,POSITIF,BETA=+0.6738 ALPHA=+1.3080 TOTAL=+1.9818,RAPPORT_PNL_AUTO_20260709_212948.md
vide_froid_vortex_v2_collab,2026-07-09T21:32:47Z,2026-07-09T21:38:19Z,MASTER_VORTEX_V2_COLLAB_4H,0.0603,POSITIF,BETA=+0.0603 ALPHA=+0.0000 TOTAL=+0.0603,RAPPORT_PNL_AUTO_20260709_213821.md
vide_froid_vortex_v2_collab,2026-07-09T21:38:58Z,2026-07-09T22:02:23Z,MASTER_VORTEX_V2_COLLAB_4H,0.7073,POSITIF,BETA=+0.1606 ALPHA=+0.5467 TOTAL=+0.7073,RAPPORT_PNL_AUTO_20260709_220226.md
vide_froid_vortex_v2_collab,2026-07-09T22:03:44Z,2026-07-09T22:15:56Z,MASTER_VORTEX_V2_COLLAB_4H,0.5897,POSITIF,BETA=-0.1213 ALPHA=+0.7110 TOTAL=+0.5897,RAPPORT_PNL_AUTO_20260709_221559.md
vide_froid_vortex_v2_collab,2026-07-09T22:19:28Z,2026-07-09T22:40:50Z,MASTER_VORTEX_V2_COLLAB_4H,-0.3280,NEGATIF,BETA=+0.7684 ALPHA=-1.0964 TOTAL=-0.3280,RAPPORT_PNL_AUTO_20260709_224052.md
vide_froid_binance,2026-07-09T22:19:28Z,2026-07-09T22:40:50Z,MASTER_VORTEX_V2_COLLAB_4H,-0.3280,NEGATIF,BETA=+0.7684 ALPHA=-1.0964 TOTAL=-0.3280,RAPPORT_PNL_AUTO_20260710_060918.md
vide_froid_binance,2026-07-09T22:19:28Z,2026-07-09T22:40:50Z,MASTER_VORTEX_V2_COLLAB_4H,-0.3280,NEGATIF,BETA=+0.7684 ALPHA=-1.0964 TOTAL=-0.3280,RAPPORT_PNL_AUTO_20260710_064920.md
vide_froid_binance,2026-07-10T06:49:31Z,2026-07-10T07:01:05Z,MASTER_VORTEX_V2_COLLAB_4H,-0.8617,NEGATIF,BETA=+0.0953 ALPHA=-0.9570 TOTAL=-0.8617,RAPPORT_PNL_AUTO_20260710_073013.md
vide_froid_binance,2026-07-10T07:30:33Z,2026-07-10T07:35:07Z,MASTER_VORTEX_V2_COLLAB_4H,2.5928,POSITIF,BETA=+0.2678 ALPHA=+2.3250 TOTAL=+2.5928,RAPPORT_PNL_AUTO_20260710_073509.md
vide_froid_binance,2026-07-10T07:30:33Z,2026-07-10T07:35:07Z,MASTER_VORTEX_V2_COLLAB_4H,2.5928,POSITIF,BETA=+0.2678 ALPHA=+2.3250 TOTAL=+2.5928,RAPPORT_PNL_AUTO_20260710_073543.md
vide_froid_vortex_v2_collab,2026-07-10T07:35:55Z,2026-07-10T07:51:46Z,MASTER_VORTEX_V2_COLLAB_4H,0.2646,POSITIF,BETA=-0.0500 ALPHA=+0.3145 TOTAL=+0.2646,RAPPORT_PNL_AUTO_20260710_075155.md
vide_froid_binance,2026-07-10T07:35:55Z,2026-07-10T07:51:46Z,MASTER_VORTEX_V2_COLLAB_4H,0.2646,POSITIF,BETA=-0.0500 ALPHA=+0.3145 TOTAL=+0.2646,RAPPORT_PNL_AUTO_20260710_080954.md
vide_froid_vortex_v2_collab,2026-07-10T08:10:06Z,2026-07-10T08:36:55Z,MASTER_VORTEX_V2_COLLAB_4H,25.8509,POSITIF,BETA=-1.0258 ALPHA=+26.8768 TOTAL=+25.8509,RAPPORT_PNL_AUTO_20260710_083706.md
vide_froid_vortex_v2_collab,2026-07-10T08:37:22Z,2026-07-10T09:01:12Z,MASTER_VORTEX_V2_COLLAB_4H,-2.3768,NEGATIF,BETA=+0.1046 ALPHA=-2.4814 TOTAL=-2.3768,RAPPORT_PNL_AUTO_20260710_090121.md
vide_froid_binance,2026-07-10T09:33:31Z,2026-07-10T10:09:24Z,MASTER_VORTEX_V2_COLLAB_4H,-0.2678,NEGATIF,BETA=-0.3700 ALPHA=+0.1022 TOTAL=-0.2678,RAPPORT_PNL_AUTO_20260710_100929.md
vide_froid_binance,2026-07-10T10:10:30Z,2026-07-10T10:24:38Z,MASTER_VORTEX_V2_COLLAB_4H,2.2371,POSITIF,BETA=-0.0102 ALPHA=+2.2473 TOTAL=+2.2371,RAPPORT_PNL_AUTO_20260710_102443.md
vide_froid_binance,"","",MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260710_104508.md
vide_froid_binance,2026-07-10T10:49:52Z,2026-07-10T10:52:03Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260710_105208.md
vide_froid_binance,2026-07-10T10:52:21Z,2026-07-10T11:02:00Z,MASTER_VORTEX_V2_COLLAB_4H_20260710_105208,-3.0317,NEGATIF,BETA=-0.1023 ALPHA=-2.9294 TOTAL=-3.0317,RAPPORT_PNL_AUTO_20260710_111856.md
vide_froid_vortex_v2_collab,2026-07-10T11:19:07Z,2026-07-10T11:26:02Z,MASTER_VORTEX_V2_COLLAB_4H,0.5294,POSITIF,BETA=-0.0019 ALPHA=+0.5312 TOTAL=+0.5294,RAPPORT_PNL_AUTO_20260710_112604.md
vide_froid_binance,2026-07-10T11:19:07Z,2026-07-10T11:26:02Z,MASTER_VORTEX_V2_COLLAB_4H,0.5294,POSITIF,BETA=-0.0019 ALPHA=+0.5312 TOTAL=+0.5294,RAPPORT_PNL_AUTO_20260710_130257.md
vide_froid_vortex_v2_collab,2026-07-10T13:04:40Z,2026-07-10T13:21:25Z,MASTER_VORTEX_V2_COLLAB_4H,0.7828,POSITIF,BETA=+0.5047 ALPHA=+0.2781 TOTAL=+0.7828,RAPPORT_PNL_AUTO_20260710_132139.md
