ts,cycle,side,status,orderId,executedQty,cumQuote,msg
2026-02-25T23:01:54Z,1,BUY,FILLED,6614072,0.00017000,11.62105890,ok
2026-02-25T23:01:55Z,1,SELL,FILLED,6614073,0.00017000,11.62105720,ok
2026-02-25T23:02:01Z,2,BUY,FILLED,6614082,0.00017000,11.62105890,ok
2026-02-25T23:02:01Z,2,SELL,FILLED,6614085,0.00017000,11.62105720,ok
2026-02-25T23:02:08Z,3,BUY,FILLED,6614170,0.00017000,11.61503410,ok
2026-02-25T23:02:08Z,3,SELL,FILLED,6614178,0.00017000,11.61503240,ok
2026-02-25T23:08:16Z,1,BUY,FILLED,6616840,0.00017000,11.65857280,ok
2026-02-25T23:08:17Z,1,SELL,FILLED,6616843,0.00017000,11.65856940,ok
2026-02-25T23:11:47Z,1,BUY,FILLED,6618643,0.00017000,11.64778120,ok
2026-02-25T23:11:48Z,1,SELL,FILLED,6618644,0.00017000,11.64777950,ok
2026-02-25T23:12:04Z,2,BUY,FILLED,6618756,0.00017000,11.64617810,ok
2026-02-25T23:12:05Z,2,SELL,FILLED,6618758,0.00017000,11.63931180,ok
2026-02-25T23:12:21Z,3,BUY,FILLED,6618910,0.00017000,11.64875530,ok
2026-02-25T23:12:22Z,3,SELL,FILLED,6618915,0.00017000,11.64875360,ok
2026-02-25T23:12:38Z,4,BUY,FILLED,6619067,0.00017000,11.65064230,ok
2026-02-25T23:12:38Z,4,SELL,FILLED,6619071,0.00017000,11.64791890,ok
2026-02-25T23:12:54Z,5,BUY,FILLED,6619241,0.00017000,11.64877910,ok
2026-02-25T23:12:55Z,5,SELL,FILLED,6619247,0.00017000,11.64877740,ok
2026-02-25T23:13:44Z,1,BUY,FILLED,6619481,0.00017000,11.64877910,ok
2026-02-25T23:13:45Z,1,SELL,FILLED,6619486,0.00017000,11.64877740,ok
2026-02-25T23:13:58Z,2,BUY,FILLED,6619559,0.00017000,11.65040770,ok
2026-02-25T23:13:58Z,2,SELL,FILLED,6619562,0.00017000,11.65040600,ok
2026-02-25T23:14:11Z,3,BUY,FILLED,6619618,0.00017000,11.64755850,ok
2026-02-25T23:14:12Z,3,SELL,FILLED,6619624,0.00017000,11.64755680,ok
2026-02-25T23:14:25Z,4,BUY,FILLED,6619646,0.00017000,11.64755850,ok
2026-02-25T23:14:26Z,4,SELL,FILLED,6619649,0.00017000,11.64755680,ok
2026-02-25T23:14:38Z,5,BUY,FILLED,6619700,0.00017000,11.65040770,ok
2026-02-25T23:14:39Z,5,SELL,FILLED,6619705,0.00017000,11.65040600,ok
2026-02-25T23:14:52Z,6,BUY,FILLED,6619776,0.00017000,11.64906810,ok
2026-02-25T23:14:53Z,6,SELL,FILLED,6619777,0.00017000,11.64906640,ok
2026-02-25T23:15:06Z,7,BUY,FILLED,6619866,0.00017000,11.64651130,ok
2026-02-25T23:15:06Z,7,SELL,FILLED,6619867,0.00017000,11.64650960,ok
2026-02-25T23:15:19Z,8,BUY,FILLED,6619927,0.00017000,11.64427920,ok
2026-02-25T23:15:20Z,8,SELL,FILLED,6619935,0.00017000,11.64427750,ok
2026-02-25T23:15:33Z,9,BUY,FILLED,6619970,0.00017000,11.64427920,ok
2026-02-25T23:15:33Z,9,SELL,FILLED,6619972,0.00017000,11.64427750,ok
2026-02-25T23:15:46Z,10,BUY,FILLED,6620053,0.00017000,11.64243640,ok
2026-02-25T23:15:47Z,10,SELL,FILLED,6620056,0.00017000,11.64243470,ok
2026-02-25T23:16:00Z,11,BUY,FILLED,6620135,0.00017000,11.64199610,ok
2026-02-25T23:16:01Z,11,SELL,FILLED,6620141,0.00017000,11.64199440,ok
2026-02-25T23:16:14Z,12,BUY,FILLED,6620225,0.00017000,11.63990170,ok
2026-02-25T23:16:14Z,12,SELL,FILLED,6620232,0.00017000,11.63990000,ok
2026-02-25T23:16:27Z,13,BUY,FILLED,6620265,0.00017000,11.63990170,ok
2026-02-25T23:16:28Z,13,SELL,FILLED,6620272,0.00017000,11.63990000,ok
2026-02-25T23:16:40Z,14,BUY,FILLED,6620390,0.00017000,11.62996690,ok
2026-02-25T23:16:41Z,14,SELL,FILLED,6620391,0.00017000,11.62996520,ok
2026-02-25T23:16:54Z,15,BUY,FILLED,6620481,0.00017000,11.63548000,ok
2026-02-25T23:16:55Z,15,SELL,FILLED,6620482,0.00017000,11.63547830,ok
2026-02-25T23:17:08Z,16,BUY,FILLED,6620564,0.00017000,11.63673120,ok
2026-02-25T23:17:08Z,16,SELL,FILLED,6620569,0.00017000,11.63672950,ok
2026-02-25T23:17:21Z,17,BUY,FILLED,6620593,0.00017000,11.63673120,ok
2026-02-25T23:17:22Z,17,SELL,FILLED,6620594,0.00017000,11.63672950,ok
2026-02-25T23:17:35Z,18,BUY,FILLED,6620661,0.00017000,11.63882560,ok
2026-02-25T23:17:36Z,18,SELL,FILLED,6620662,0.00017000,11.63882390,ok
