ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-26T00:01:00Z,1,BUY,FILLED,6637694,0.00017000,11.54096680,,,,,ok
2026-02-26T00:01:32Z,1,SELL,FILLED,6637904,0.00017000,11.53838280,-0.00258400,timeout,32,67883.29000000,ok
2026-02-26T00:01:38Z,2,BUY,FILLED,6637940,0.00017000,11.53838450,,,,,ok
2026-02-26T00:02:08Z,2,SELL,FILLED,6638155,0.00017000,11.51744730,-0.02093720,stop_loss,30,67749.70000000,ok
2026-02-26T00:02:14Z,3,BUY,FILLED,6638199,0.00017000,11.51744900,,,,,ok
2026-02-26T00:02:27Z,3,SELL,FILLED,6638291,0.00017000,11.52829330,0.01084430,target,13,67813.49000000,ok
2026-02-26T00:02:33Z,4,BUY,FILLED,6638325,0.00017000,11.52829500,,,,,ok
2026-02-26T00:03:04Z,4,SELL,FILLED,6638552,0.00017000,11.51475280,-0.01354220,stop_loss,31,67733.85000000,ok
2026-02-26T00:03:10Z,5,BUY,FILLED,6638567,0.00017000,11.51475450,,,,,ok
2026-02-26T00:03:21Z,5,SELL,FILLED,6638663,0.00017000,11.52441050,0.00965600,target,11,67790.66000000,ok
2026-02-26T00:03:27Z,6,BUY,FILLED,6638676,0.00017000,11.52441220,,,,,ok
2026-02-26T00:03:37Z,6,SELL,FILLED,6638780,0.00017000,11.53540270,0.01099050,target,10,67855.31000000,ok
2026-02-26T00:03:43Z,7,BUY,FILLED,6638801,0.00017000,11.53540440,,,,,ok
2026-02-26T00:03:57Z,7,SELL,FILLED,6638906,0.00017000,11.54220950,0.00680510,target,14,67895.35000000,ok
2026-02-26T00:04:03Z,8,BUY,FILLED,6638935,0.00017000,11.54221120,,,,,ok
2026-02-26T00:27:27Z,1,BUY,FILLED,6647841,0.00017000,11.61824540,,,,,ok
2026-02-26T00:28:14Z,1,SELL,FILLED,6648057,0.00017000,11.61471790,-0.00352750,timeout,47,68321.88000000,ok
2026-02-26T00:28:21Z,2,BUY,FILLED,6648097,0.00017000,11.61471960,,,,,ok
2026-02-26T00:29:08Z,2,SELL,FILLED,6648288,0.00017000,11.61538260,0.00066300,timeout,47,68325.78000000,ok
2026-02-26T00:29:14Z,3,BUY,FILLED,6648355,0.00017000,11.61709450,,,,,ok
2026-02-26T00:30:01Z,3,SELL,FILLED,6648579,0.00017000,11.61483520,-0.00225930,timeout,47,68322.57000000,ok
2026-02-26T00:30:07Z,4,BUY,FILLED,6648675,0.00017000,11.60660380,,,,,ok
2026-02-26T00:30:54Z,4,SELL,FILLED,6648912,0.00017000,11.63023040,0.02362660,timeout,47,68413.13000000,ok
2026-02-26T00:31:00Z,5,BUY,FILLED,6648973,0.00017000,11.62761750,,,,,ok
2026-02-26T00:31:47Z,5,SELL,FILLED,6649236,0.00017000,11.62253110,-0.00508640,timeout,47,68367.84000000,ok
2026-02-26T00:31:53Z,6,BUY,FILLED,6649300,0.00017000,11.62614020,,,,,ok
2026-02-26T00:32:40Z,6,SELL,FILLED,6649561,0.00017000,11.63540180,0.00926160,timeout,47,68443.55000000,ok
2026-02-26T00:32:46Z,7,BUY,FILLED,6649631,0.00017000,11.63817280,,,,,ok
2026-02-26T00:33:33Z,7,SELL,FILLED,6649870,0.00017000,11.63711030,-0.00106250,timeout,47,68453.60000000,ok
2026-02-26T00:33:39Z,8,BUY,FILLED,6649944,0.00017000,11.63842610,,,,,ok
2026-02-26T00:34:25Z,8,SELL,FILLED,6650164,0.00017000,11.64014650,0.00172040,timeout,46,68471.46000000,ok
2026-02-26T00:34:31Z,9,BUY,FILLED,6650242,0.00017000,11.64326600,,,,,ok
2026-02-26T00:35:15Z,9,SELL,FILLED,6650611,0.00017000,11.35745690,-0.28580910,stop_loss,44,66693.66000000,ok
2026-02-26T00:35:21Z,10,BUY,FILLED,6650731,0.00017000,11.64716750,,,,,ok
2026-02-26T00:36:08Z,10,SELL,FILLED,6650986,0.00017000,11.64745310,0.00028560,timeout,47,68514.44000000,ok
2026-02-26T00:42:30Z,1,BUY,FILLED,6654107,0.00017000,11.58034390,,,,,ok
