ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T10:22:56Z,1,SKIP,SKIPPED,,,,,,,66853.19000000,structure_short_block_buy mom_bps=-0.74998292 trend_bps=-27.57286015
2026-02-27T10:23:10Z,2,SKIP,SKIPPED,,,,,,,66834.02000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049892 spread_bps=0.00150000
2026-02-27T10:23:24Z,3,SKIP,SKIPPED,,,,,,,66810.00000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:23:38Z,4,SKIP,SKIPPED,,,,,,,66802.25000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:23:52Z,5,SKIP,SKIPPED,,,,,,,66827.18000000,tactic_mismatch mom=long structure=short trend_bps=-25.59901180
2026-02-27T10:24:08Z,6,SKIP,SKIPPED,,,,,,,66827.18000000,tactic_mismatch mom=long structure=short trend_bps=-19.16944732
2026-02-27T10:24:22Z,7,SKIP,SKIPPED,,,,,,,66879.22000000,tactic_mismatch mom=long structure=short trend_bps=-16.06980216
2026-02-27T10:24:38Z,8,SKIP,SKIPPED,,,,,,,66900.00000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049836 spread_bps=0.00150000
2026-02-27T10:24:54Z,9,SKIP,SKIPPED,,,,,,,66869.44000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:25:13Z,10,ENTRY,FILLED,7235653,0.00822000,549.92860380,,,,,ok side=BUY mode=long_first mass=550.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=neutral trend_bps=0.60269234
2026-02-27T10:31:56Z,10,EXIT,FILLED,7238366,0.00822000,549.60366720,-0.32493660,timeout,403,66861.77000000,ok side=SELL mode=long_first soft=0
2026-02-27T10:32:10Z,11,SKIP,SKIPPED,,,,,,,66868.23000000,radar_block reason=momentum_too_small conf=0.6212 mom_bps=-0.09321907 spread_bps=0.00150000
2026-02-27T10:32:24Z,12,SKIP,SKIPPED,,,,,,,66881.35000000,radar_block reason=momentum_too_small conf=0.6245 mom_bps=-0.09371756 spread_bps=0.00150000
2026-02-27T10:32:39Z,13,ENTRY,FILLED,7238647,0.00565000,377.85753600,,,,,ok side=BUY mode=long_first mass=377.90500000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=13.00256758
2026-02-27T10:36:09Z,13,EXIT,FILLED,7239775,0.00565000,377.70250000,-0.15503600,exit_stall,210,66870.37000000,ok side=SELL mode=long_first soft=0
2026-02-27T10:36:23Z,14,SKIP,SKIPPED,,,,,,,66850.01000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:36:37Z,15,SKIP,SKIPPED,,,,,,,66866.56000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049856 spread_bps=0.00150000
2026-02-27T10:40:34Z,1,SKIP,SKIPPED,,,,,,,66751.86000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049932 spread_bps=0.00150000
2026-02-27T10:40:48Z,2,SKIP,SKIPPED,,,,,,,66766.69000000,tactic_mismatch mom=long structure=short trend_bps=-12.65794382
2026-02-27T10:41:03Z,3,SKIP,SKIPPED,,,,,,,66774.16000000,radar_block reason=momentum_too_small conf=0.336 mom_bps=0.05042601 spread_bps=0.00150000
