ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T10:56:19Z,1,ENTRY,FILLED,7247644,0.00825000,549.87751500,,,,,ok side=SELL mode=short_first_spot mass=550.00000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-4.27289517
2026-02-27T10:57:37Z,1,EXIT,FILLED,7248203,0.00825000,549.84204000,0.03547500,exit_stall,78,66647.51000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T10:57:50Z,2,SKIP,SKIPPED,,,,,,,66647.52000000,tactic_mismatch mom=short structure=long trend_bps=3.87281373
2026-02-27T10:58:04Z,3,SKIP,SKIPPED,,,,,,,66618.20000000,radar_block reason=low_confidence conf=0.7435 mom_bps=-0.11156467 spread_bps=0.00150000
2026-02-27T10:58:18Z,4,SKIP,SKIPPED,,,,,,,66622.42000000,tactic_mismatch mom=short structure=long trend_bps=2.40367292
2026-02-27T10:58:33Z,5,ENTRY,FILLED,7248408,0.00644000,429.19560320,,,,,ok side=BUY mode=long_first mass=429.53350000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=2.40517428
2026-02-27T10:59:30Z,5,EXIT,FILLED,7248686,0.00644000,428.99564120,-0.19996200,exit_stall,57,66630.00000000,ok side=SELL mode=long_first soft=0
2026-02-27T10:59:43Z,6,SKIP,SKIPPED,,,,,,,66614.24000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T11:00:00Z,7,ENTRY,FILLED,7248834,0.00413000,275.08980100,,,,,ok side=SELL mode=short_first_spot mass=275.22599335 soft=1 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-2.68821199
2026-02-27T11:00:54Z,7,EXIT,FILLED,7249262,0.00413000,275.38840000,-0.29859900,stop_loss,54,66679.99000000,ok side=BUY mode=short_first_spot soft=1
2026-02-27T11:01:08Z,8,ENTRY,FILLED,7249399,0.00375000,250.05645000,,,,,ok side=BUY mode=long_first mass=250.36073674 soft=1 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=9.27674419
2026-02-27T11:02:06Z,8,EXIT,FILLED,7249728,0.00375000,250.01265000,-0.04380000,exit_stall,58,66670.04000000,ok side=SELL mode=long_first soft=1
2026-02-27T11:02:18Z,9,SKIP,SKIPPED,,,,,,,66670.05000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T11:02:32Z,10,ENTRY,FILLED,7249950,0.00348000,232.03505520,,,,,ok side=BUY mode=long_first mass=232.20661289 soft=1 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=12.58249903
2026-02-27T11:03:32Z,10,EXIT,FILLED,7250213,0.00348000,232.03641240,0.00135720,exit_stall,60,66677.14000000,ok side=SELL mode=long_first soft=1
2026-02-27T11:03:46Z,11,ENTRY,FILLED,7250304,0.00491000,327.41652510,,,,,ok side=BUY mode=long_first mass=327.54462902 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=10.42221689
2026-02-27T11:05:02Z,11,EXIT,FILLED,7250667,0.00491000,327.45266270,0.03613760,exit_stall,76,66690.98000000,ok side=SELL mode=long_first soft=0
2026-02-27T11:05:16Z,12,SKIP,SKIPPED,,,,,,,66690.98000000,tactic_mismatch mom=short structure=long trend_bps=1.01394854
2026-02-27T11:05:20Z,13,SKIP,SKIPPED,,,,,,,66529.25000000,spread_bps=16.23950000 > 2
2026-02-27T11:05:26Z,14,SKIP,SKIPPED,,,,,,,66561.78000000,spread_bps=24.84910000 > 2
2026-02-27T11:05:40Z,15,SKIP,SKIPPED,,,,,,,66699.40000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049987 spread_bps=0.00150000
2026-02-27T11:05:54Z,16,ENTRY,FILLED,7251012,0.00670000,446.94628000,,,,,ok side=BUY mode=long_first mass=447.35329364 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=5.75220808
2026-02-27T11:06:51Z,16,EXIT,FILLED,7251257,0.00670000,447.11692900,0.17064900,exit_stall,57,66733.88000000,ok side=SELL mode=long_first soft=0
2026-02-27T11:07:04Z,17,SKIP,SKIPPED,,,,,,,66721.32000000,tactic_mismatch mom=short structure=long trend_bps=8.50816337
2026-02-27T11:07:19Z,18,ENTRY,FILLED,7251379,0.00418000,278.73698820,,,,,ok side=SELL mode=short_first_spot mass=279.50452580 soft=1 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-4.24062973
2026-02-27T11:08:11Z,18,EXIT,FILLED,7251585,0.00418000,278.85164560,-0.11465740,exit_stall,52,66696.48000000,ok side=BUY mode=short_first_spot soft=1
2026-02-27T11:08:25Z,19,ENTRY,FILLED,7251657,0.00378000,252.35635320,,,,,ok side=BUY mode=long_first mass=252.45721764 soft=1 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=10.49017581
2026-02-27T11:09:18Z,19,EXIT,FILLED,7251837,0.00378000,252.34025040,-0.01610280,exit_stall,53,66756.69000000,ok side=SELL mode=long_first soft=1
2026-02-27T11:09:32Z,20,SKIP,SKIPPED,,,,,,,66756.69000000,radar_block reason=momentum_too_small conf=0.5291 mom_bps=-0.07938976 spread_bps=0.00150000
