ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T11:16:26Z,1,SKIP,SKIPPED,,,,,,,66645.33000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00050021 spread_bps=0.00150000
2026-02-27T11:16:39Z,2,SKIP,SKIPPED,,,,,,,66633.14000000,radar_block reason=momentum_too_small conf=0.33 mom_bps=-0.04952074 spread_bps=0.00150000
2026-02-27T11:16:53Z,3,SKIP,SKIPPED,,,,,,,66653.76000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00050012 spread_bps=0.00150000
2026-02-27T11:17:07Z,4,SKIP,SKIPPED,,,,,,,66655.62000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00050011 spread_bps=0.00150000
2026-02-27T11:17:20Z,5,SKIP,SKIPPED,,,,,,,66618.65000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T11:17:38Z,6,ENTRY,FILLED,7254976,0.00825000,549.46311750,,,,,ok side=SELL mode=short_first_spot mass=550.00000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-21.65368988
2026-02-27T11:18:40Z,6,EXIT,FILLED,7255427,0.00825000,549.21759750,0.24552000,exit_stall,62,66587.48000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T11:18:53Z,7,SKIP,SKIPPED,,,,,,,66571.83000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00050073 spread_bps=0.00150000
2026-02-27T11:19:06Z,8,SKIP,SKIPPED,,,,,,,66568.24000000,tactic_mismatch mom=long structure=short trend_bps=-11.56570334
2026-02-27T11:19:21Z,9,ENTRY,FILLED,7255647,0.00567000,377.31338190,,,,,ok side=SELL mode=short_first_spot mass=377.90500000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-14.96579205
2026-02-27T11:20:28Z,9,EXIT,FILLED,7256342,0.00567000,376.75868580,0.55469610,exit_stall,67,66447.74000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T11:20:40Z,10,SKIP,SKIPPED,,,,,,,66468.17000000,tactic_mismatch mom=long structure=short trend_bps=-28.12066381
2026-02-27T11:20:55Z,11,ENTRY,FILLED,7256614,0.00395000,262.49950150,,,,,ok side=SELL mode=short_first_spot mass=262.82999050 soft=1 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-29.30436013
2026-02-27T11:21:50Z,11,EXIT,FILLED,7256888,0.00395000,262.46738800,0.03211350,exit_stall,55,66447.43000000,ok side=BUY mode=short_first_spot soft=1
2026-02-27T11:22:03Z,12,SKIP,SKIPPED,,,,,,,66447.44000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T11:22:16Z,13,SKIP,SKIPPED,,,,,,,66487.29000000,tactic_mismatch mom=long structure=short trend_bps=-12.16045369
2026-02-27T11:22:28Z,14,SKIP,SKIPPED,,,,,,,66551.74000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00050098 spread_bps=0.00150000
2026-02-27T11:22:41Z,15,SKIP,SKIPPED,,,,,,,66451.96000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T11:22:54Z,16,SKIP,SKIPPED,,,,,,,66451.96000000,tactic_mismatch mom=long structure=short trend_bps=-7.30228109
2026-02-27T11:23:06Z,17,SKIP,SKIPPED,,,,,,,66519.64000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00050123 spread_bps=0.00150000
2026-02-27T11:23:20Z,18,ENTRY,FILLED,7257724,0.00747000,496.88501130,,,,,ok side=BUY mode=long_first mass=497.09164479 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=18.14994648
2026-02-27T11:24:12Z,18,EXIT,FILLED,7258048,0.00747000,496.92554010,0.04052880,exit_stall,52,66522.84000000,ok side=SELL mode=long_first soft=0
2026-02-27T11:24:26Z,19,ENTRY,FILLED,7258151,0.00539000,358.60435380,,,,,ok side=BUY mode=long_first mass=359.07490594 soft=1 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=11.41062948
2026-02-27T11:25:19Z,19,EXIT,FILLED,7258367,0.00539000,358.65852330,0.05416950,exit_stall,53,66541.48000000,ok side=SELL mode=long_first soft=1
2026-02-27T11:25:32Z,20,ENTRY,FILLED,7258489,0.00437000,290.91317240,,,,,ok side=BUY mode=long_first mass=291.44670391 soft=1 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=12.51818205
2026-02-27T11:26:55Z,20,EXIT,FILLED,7259262,0.00437000,291.03365330,0.12048090,exit_stall,83,66586.55000000,ok side=SELL mode=long_first soft=1
