ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T10:08:45Z,1,SKIP,SKIPPED,,,,,,,67328.67000000,tactic_mismatch mom=short structure=long trend_bps=11.16371798
2026-02-27T10:09:00Z,2,SKIP,SKIPPED,,,,,,,67328.67000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:09:14Z,3,SKIP,SKIPPED,,,,,,,67332.61000000,tactic_mismatch mom=short structure=long trend_bps=4.26927489
2026-02-27T10:09:29Z,4,SKIP,SKIPPED,,,,,,,67323.54000000,radar_block reason=momentum_too_small conf=0.4752 mom_bps=-0.07129977 spread_bps=0.00150000
2026-02-27T10:09:47Z,5,ENTRY,FILLED,7228168,0.00445000,299.32488900,,,,,ok side=SELL mode=short_first_spot mass=300.00000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-4.57390467
2026-02-27T10:13:30Z,5,EXIT,FILLED,7230124,0.00445000,297.87699250,1.44789650,trailing_stop,223,66938.64000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T10:13:45Z,6,SKIP,SKIPPED,,,,,,,66938.65000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049809 spread_bps=0.00150000
2026-02-27T10:14:01Z,7,SKIP,SKIPPED,,,,,,,66956.27000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049784 spread_bps=0.00150000
2026-02-27T10:14:19Z,8,ENTRY,FILLED,7230635,0.00307000,205.49023510,,,,,ok side=SELL mode=short_first_spot mass=206.13000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-34.31805294
2026-02-27T10:16:41Z,8,EXIT,FILLED,7231857,0.00307000,205.55418320,-0.06394810,exit_stall,142,66945.96000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T10:16:55Z,9,SKIP,SKIPPED,,,,,,,66955.76000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:17:12Z,10,SKIP,SKIPPED,,,,,,,66995.22000000,radar_block reason=momentum_too_small conf=0.0066 mom_bps=0.00099520 spread_bps=0.00150000
2026-02-27T10:17:27Z,11,SKIP,SKIPPED,,,,,,,66977.30000000,radar_block reason=momentum_too_small conf=0.3225 mom_bps=0.05027478 spread_bps=0.15080000
2026-02-27T10:17:34Z,12,SKIP,SKIPPED,,,,,,,66919.19000000,liquidity_low need=0.00500410 askQty=0.00032000 bidQty=6.10976000 mass=223.24728837
2026-02-27T10:17:48Z,13,SKIP,SKIPPED,,,,,,,66924.48000000,radar_block reason=momentum_too_small conf=0.2806 mom_bps=0.00000000 spread_bps=0.79340000
2026-02-27T10:18:02Z,14,SKIP,SKIPPED,,,,,,,66949.78000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:18:17Z,15,SKIP,SKIPPED,,,,,,,66967.37000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:18:31Z,16,SKIP,SKIPPED,,,,,,,66967.37000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:18:47Z,17,SKIP,SKIPPED,,,,,,,66967.37000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:19:02Z,18,SKIP,SKIPPED,,,,,,,67011.43000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:19:17Z,19,SKIP,SKIPPED,,,,,,,67018.80000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049733 spread_bps=0.00150000
2026-02-27T10:19:23Z,20,SKIP,SKIPPED,,,,,,,67017.14000000,liquidity_low need=0.00661566 askQty=0.00370000 bidQty=12.62156000 mass=295.57535891
2026-02-27T10:19:30Z,21,SKIP,SKIPPED,,,,,,,67017.36000000,liquidity_low need=0.00664536 askQty=0.00011000 bidQty=12.61111000 mass=296.90275124
2026-02-27T10:19:45Z,22,SKIP,SKIPPED,,,,,,,67016.04000000,radar_block reason=momentum_too_small conf=0.2983 mom_bps=0.04476299 spread_bps=0.00150000
2026-02-27T10:20:00Z,23,SKIP,SKIPPED,,,,,,,67022.71000000,tactic_mismatch mom=short structure=long trend_bps=14.40608170
2026-02-27T10:20:19Z,24,ENTRY,FILLED,7233594,0.00446000,298.83552080,,,,,ok side=BUY mode=long_first mass=298.93764368 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=1.23292397
2026-02-27T10:21:08Z,24,EXIT,FILLED,7233864,0.00446000,297.90645820,-0.92906260,crash_watchdog,49,66795.18000000,ok side=SELL mode=long_first soft=0
2026-02-27T10:21:23Z,25,SKIP,SKIPPED,,,,,,,66795.18000000,radar_block reason=momentum_too_small conf=0.0433 mom_bps=0.00649097 spread_bps=0.00150000
2026-02-27T10:21:40Z,26,SKIP,SKIPPED,,,,,,,66761.16000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:21:55Z,27,SKIP,SKIPPED,,,,,,,66813.77000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T10:22:11Z,28,SKIP,SKIPPED,,,,,,,66866.62000000,tactic_mismatch mom=long structure=short trend_bps=-22.70855342
2026-02-27T10:22:26Z,29,SKIP,SKIPPED,,,,,,,66831.90000000,tactic_mismatch mom=long structure=short trend_bps=-27.88769718
2026-02-27T10:22:41Z,30,SKIP,SKIPPED,,,,,,,66831.90000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
