ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-26T20:55:20Z,1,ENTRY,FILLED,7014183,0.00017000,11.44861770,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T20:56:29Z,1,EXIT,FILLED,7014446,0.00017000,11.45356470,0.00494700,exit_fatigue,69,67360.91000000,ok side=SELL mode=long_first soft=0
2026-02-26T20:56:43Z,2,ENTRY,FILLED,7014487,0.00017000,11.45356640,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T20:57:34Z,2,EXIT,FILLED,7014632,0.00017000,11.45223190,-0.00133450,exit_fatigue,51,67367.49000000,ok side=SELL mode=long_first soft=0
2026-02-26T20:57:49Z,3,ENTRY,FILLED,7014649,0.00017000,11.45223360,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T20:59:48Z,3,EXIT,FILLED,7015120,0.00017000,11.46269540,0.01046180,exit_fatigue,119,67427.62000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:00:03Z,4,ENTRY,FILLED,7015213,0.00017000,11.45831960,,,,,ok side=SELL mode=short_first_spot mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:02:03Z,4,EXIT,FILLED,7015893,0.00017000,11.45387920,0.00444040,exit_fatigue,120,67373.37000000,ok side=BUY mode=short_first_spot soft=0
2026-02-26T21:02:17Z,5,ENTRY,FILLED,7015940,0.00017000,11.45401350,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=long radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:03:42Z,5,EXIT,FILLED,7016218,0.00017000,11.46199330,0.00797980,trailing_stop,85,67423.49000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:03:56Z,6,ENTRY,FILLED,7016276,0.00019000,12.81286280,,,,,ok side=BUY mode=long_first mass=13.2000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:06:19Z,6,EXIT,FILLED,7016813,0.00019000,12.79922840,-0.01363440,stop_loss,143,67364.37000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:06:33Z,7,ENTRY,FILLED,7016837,0.00019000,12.79923030,,,,,ok side=BUY mode=long_first mass=13.2000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:07:11Z,7,EXIT,FILLED,7017030,0.00019000,12.78567000,-0.01356030,stop_loss,38,67293.09000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:07:25Z,8,ENTRY,FILLED,7017084,0.00017000,11.43982530,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:09:31Z,8,EXIT,FILLED,7017660,0.00017000,11.42955220,-0.01027310,stop_loss,126,67233.16000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:09:45Z,9,ENTRY,FILLED,7017721,0.00017000,11.42639530,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:10:12Z,9,EXIT,FILLED,7017902,0.00017000,11.41556630,-0.01082900,stop_loss,27,67150.39000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:10:27Z,10,ENTRY,FILLED,7017941,0.00017000,11.41556800,,,,,ok side=BUY mode=long_first mass=12.0000 soft=0 radar_dir=short radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:11:40Z,10,EXIT,FILLED,7018351,0.00017000,11.42338290,0.00781490,trailing_stop,73,67196.38000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:11:54Z,11,ENTRY,FILLED,7018369,0.00019000,12.76731220,,,,,ok side=BUY mode=long_first mass=13.2000 soft=0 radar_dir=long radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:14:40Z,11,EXIT,FILLED,7019000,0.00019000,12.79650000,0.02918780,timeout,166,67323.52000000,ok side=SELL mode=long_first soft=0
2026-02-26T21:14:54Z,12,ENTRY,FILLED,7019071,0.00013000,8.75784520,,,,,ok side=BUY mode=long_first mass=9.24000000 soft=1 radar_dir=long radar_conf=0.5 radar_reason=radar_off
2026-02-26T21:16:26Z,12,EXIT,FILLED,7019431,0.00013000,8.75765670,-0.00018850,timeout,92,67375.00000000,ok side=SELL mode=long_first soft=1
