ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T00:49:48Z,1,SKIP,SKIPPED,,,,,,,67163.58000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:50:04Z,2,SKIP,SKIPPED,,,,,,,67180.63000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049624 spread_bps=0.00150000
2026-02-27T00:50:21Z,3,SKIP,SKIPPED,,,,,,,67180.47000000,radar_block reason=momentum_too_small conf=0.0496 mom_bps=-0.00744365 spread_bps=0.00150000
2026-02-27T00:50:37Z,4,SKIP,SKIPPED,,,,,,,67243.10000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:50:53Z,5,SKIP,SKIPPED,,,,,,,67250.81000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:51:09Z,6,SKIP,SKIPPED,,,,,,,67243.75000000,tactic_mismatch mom=short structure=long trend_bps=16.13455071
2026-02-27T00:51:27Z,7,ENTRY,FILLED,7065999,0.00118000,79.38759160,,,,,ok side=BUY mode=long_first mass=80.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=21.17808734
2026-02-27T00:53:01Z,7,EXIT,FILLED,7066309,0.00118000,79.35317100,-0.03442060,exit_stall,94,67248.46000000,ok side=SELL mode=long_first soft=0
2026-02-27T00:53:18Z,8,SKIP,SKIPPED,,,,,,,67253.90000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049561 spread_bps=0.00150000
2026-02-27T00:53:34Z,9,SKIP,SKIPPED,,,,,,,67285.84000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:53:50Z,10,SKIP,SKIPPED,,,,,,,67262.30000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049551 spread_bps=0.00150000
2026-02-27T00:54:07Z,11,SKIP,SKIPPED,,,,,,,67219.76000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:54:23Z,12,SKIP,SKIPPED,,,,,,,67186.68000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049591 spread_bps=0.00150000
