ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T00:22:23Z,1,SKIP,SKIPPED,,,,,,,67280.59000000,tactic_mismatch mom=long structure=short trend_bps=-5.36716584
2026-02-27T00:22:36Z,2,SKIP,SKIPPED,,,,,,,67280.59000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:22:49Z,3,SKIP,SKIPPED,,,,,,,67293.04000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:23:03Z,4,SKIP,SKIPPED,,,,,,,67292.43000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:23:17Z,5,SKIP,SKIPPED,,,,,,,67274.00000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:23:33Z,6,ENTRY,FILLED,7058047,0.00223000,149.99133870,,,,,ok side=SELL mode=short_first_spot mass=150.00000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-4.96328801
2026-02-27T00:25:49Z,6,EXIT,FILLED,7058665,0.00223000,149.90969840,0.08164030,exit_stall,136,67224.08000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T00:26:02Z,7,SKIP,SKIPPED,,,,,,,67224.08000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:26:15Z,8,SKIP,SKIPPED,,,,,,,67230.92000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:26:28Z,9,SKIP,SKIPPED,,,,,,,67215.01000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T00:26:43Z,10,ENTRY,FILLED,7058891,0.00174000,116.93245440,,,,,ok side=SELL mode=short_first_spot mass=117.14550000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-11.50649486
2026-02-27T00:28:13Z,10,EXIT,FILLED,7059323,0.00174000,116.94924540,-0.01679100,exit_stall,90,67212.20000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T00:28:26Z,11,SKIP,SKIPPED,,,,,,,67232.06000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049585 spread_bps=0.00150000
2026-02-27T00:28:39Z,12,SKIP,SKIPPED,,,,,,,67232.06000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
