ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T08:25:03Z,1,SKIP,SKIPPED,,,,,,,67945.66000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:25:19Z,2,SKIP,SKIPPED,,,,,,,67890.87000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:25:32Z,3,SKIP,SKIPPED,,,,,,,67913.30000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:25:48Z,4,ENTRY,FILLED,7192243,0.00735000,499.37825700,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=3.32744356
2026-02-27T08:27:10Z,4,EXIT,FILLED,7192522,0.00735000,499.15930050,-0.21895650,exit_stall,82,67927.61000000,ok side=SELL mode=long_first soft=0
2026-02-27T08:27:24Z,5,SKIP,SKIPPED,,,,,,,67912.84000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:27:39Z,6,SKIP,SKIPPED,,,,,,,67912.84000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:27:52Z,7,SKIP,SKIPPED,,,,,,,67909.75000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=0.00049088 spread_bps=0.00150000
2026-02-27T08:28:07Z,8,SKIP,SKIPPED,,,,,,,67895.54000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:28:22Z,9,SKIP,SKIPPED,,,,,,,67895.54000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:28:36Z,10,SKIP,SKIPPED,,,,,,,67885.24000000,tactic_mismatch mom=long structure=short trend_bps=-8.89240019
2026-02-27T08:28:50Z,11,SKIP,SKIPPED,,,,,,,67909.83000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:29:03Z,12,SKIP,SKIPPED,,,,,,,67918.68000000,tactic_mismatch mom=long structure=short trend_bps=-2.95118852
