ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T08:35:29Z,1,ENTRY,FILLED,7195614,0.00736000,499.18508160,,,,,ok side=SELL mode=short_first_spot mass=500.00000000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-16.91303687
2026-02-27T08:37:47Z,1,EXIT,FILLED,7196178,0.00736000,499.11111360,0.07396800,exit_stall,138,67815.33000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T08:38:02Z,2,SKIP,SKIPPED,,,,,,,67814.01000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049158 spread_bps=0.00150000
2026-02-27T08:38:16Z,3,SKIP,SKIPPED,,,,,,,67806.89000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:38:31Z,4,SKIP,SKIPPED,,,,,,,67814.00000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:38:46Z,5,SKIP,SKIPPED,,,,,,,67814.00000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049161 spread_bps=0.00150000
2026-02-27T08:39:03Z,6,ENTRY,FILLED,7196374,0.00624000,423.13327680,,,,,ok side=SELL mode=short_first_spot mass=423.33950000 soft=0 radar_dir=short radar_conf=0.9996 radar_reason=ok structure_dir=short trend_bps=-8.58282716
2026-02-27T08:42:13Z,6,EXIT,FILLED,7197291,0.00624000,423.37507680,-0.24180000,exit_stall,190,67848.56000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T08:42:28Z,7,SKIP,SKIPPED,,,,,,,67838.25000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:42:43Z,8,SKIP,SKIPPED,,,,,,,67848.52000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:42:58Z,9,SKIP,SKIPPED,,,,,,,67843.86000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T08:43:13Z,10,ENTRY,FILLED,7197529,0.00562000,381.30868240,,,,,ok side=BUY mode=long_first mass=381.46596883 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=9.49927505
2026-02-27T08:46:32Z,10,EXIT,FILLED,7199118,0.00562000,382.16337200,0.85468960,exit_stall,199,67999.99000000,ok side=SELL mode=long_first soft=0
2026-02-27T08:46:47Z,11,SKIP,SKIPPED,,,,,,,68000.61000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049025 spread_bps=0.00150000
2026-02-27T08:47:02Z,12,SKIP,SKIPPED,,,,,,,67993.20000000,tactic_mismatch mom=short structure=long trend_bps=21.32397602
