ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T09:05:22Z,1,SKIP,SKIPPED,,,,,,,67887.72000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049099 spread_bps=0.00150000
2026-02-27T09:05:37Z,2,SKIP,SKIPPED,,,,,,,67893.30000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:05:51Z,3,SKIP,SKIPPED,,,,,,,67896.47000000,tactic_mismatch mom=long structure=short trend_bps=-5.41560938
2026-02-27T09:06:07Z,4,ENTRY,FILLED,7205335,0.00736000,499.91718080,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=3.46539028
2026-02-27T09:08:03Z,4,EXIT,FILLED,7205725,0.00736000,499.95582080,0.03864000,exit_stall,116,67920.43000000,ok side=SELL mode=long_first soft=0
2026-02-27T09:08:18Z,5,SKIP,SKIPPED,,,,,,,67928.79000000,radar_block reason=momentum_too_small conf=0.0033 mom_bps=-0.00049075 spread_bps=0.00150000
2026-02-27T09:08:34Z,6,SKIP,SKIPPED,,,,,,,67937.65000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:08:48Z,7,SKIP,SKIPPED,,,,,,,67957.70000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:09:04Z,8,SKIP,SKIPPED,,,,,,,67963.93000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:09:18Z,9,SKIP,SKIPPED,,,,,,,67939.72000000,tactic_mismatch mom=short structure=long trend_bps=2.38209057
2026-02-27T09:09:35Z,10,ENTRY,FILLED,7206510,0.00656000,445.85820640,,,,,ok side=BUY mode=long_first mass=446.33765000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=6.28059231
2026-02-27T09:11:22Z,10,EXIT,FILLED,7207414,0.00656000,445.55598720,-0.30221920,exit_stall,107,67962.11000000,ok side=SELL mode=long_first soft=0
2026-02-27T09:11:37Z,11,SKIP,SKIPPED,,,,,,,67920.13000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:11:52Z,12,SKIP,SKIPPED,,,,,,,67920.71000000,radar_block reason=momentum_too_small conf=0.1897 mom_bps=0.02845917 spread_bps=0.00150000
