ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T09:16:08Z,1,ENTRY,FILLED,7208563,0.00735000,499.60074150,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=7.99928620
2026-02-27T09:17:24Z,1,EXIT,FILLED,7208804,0.00735000,499.51577550,-0.08496600,exit_stall,76,67974.55000000,ok side=SELL mode=long_first soft=0
2026-02-27T09:17:39Z,2,SKIP,SKIPPED,,,,,,,67961.34000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:17:53Z,3,SKIP,SKIPPED,,,,,,,67960.40000000,radar_block reason=momentum_too_small conf=0.304 mom_bps=-0.04561395 spread_bps=0.00150000
2026-02-27T09:18:10Z,4,SKIP,SKIPPED,,,,,,,67979.66000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:18:24Z,5,SKIP,SKIPPED,,,,,,,67993.24000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:18:39Z,6,SKIP,SKIPPED,,,,,,,67993.24000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:18:54Z,7,SKIP,SKIPPED,,,,,,,67984.37000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:19:08Z,8,SKIP,SKIPPED,,,,,,,67985.39000000,tactic_mismatch mom=short structure=long trend_bps=1.83896845
2026-02-27T09:19:23Z,9,SKIP,SKIPPED,,,,,,,67985.38000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:19:37Z,10,SKIP,SKIPPED,,,,,,,68008.58000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:19:52Z,11,SKIP,SKIPPED,,,,,,,68004.53000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T09:20:08Z,12,ENTRY,FILLED,7209427,0.00721000,490.36060780,,,,,ok side=BUY mode=long_first mass=490.98096883 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=5.38878154
2026-02-27T09:21:58Z,12,EXIT,FILLED,7210379,0.00721000,490.18158350,-0.17902430,exit_stall,110,68001.12000000,ok side=SELL mode=long_first soft=0
