ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T23:03:03Z,1,SKIP,SKIPPED,,,,,,,65680.34000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00152253 spread_bps=0.00150000
2026-02-27T23:03:11Z,2,SKIP,SKIPPED,,,,,,,65680.34000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:03:18Z,3,SKIP,SKIPPED,,,,,,,65674.59000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:03:25Z,4,SKIP,SKIPPED,,,,,,,65674.59000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:03:32Z,5,SKIP,SKIPPED,,,,,,,65644.32000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:03:40Z,6,SKIP,SKIPPED,,,,,,,65644.32000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152336 spread_bps=0.00150000
2026-02-27T23:03:49Z,7,ENTRY,FILLED,7533266,0.00761000,499.73348000,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9999 radar_reason=ok resonance_mode=NORMAL resonance_side=SHORT resonance_lock=0.66894272 resonance_gate=ok structure_dir=neutral trend_bps=0.96438054
2026-02-27T23:04:08Z,7,EXIT,FILLED,7533380,0.00761000,499.88560390,0.15212390,exit_fatigue,19,65683.52000000,ok side=SELL mode=long_first soft=0
2026-02-27T23:04:16Z,8,SKIP,SKIPPED,,,,,,,65688.00000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:04:23Z,9,SKIP,SKIPPED,,,,,,,65712.62000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:04:30Z,10,SKIP,SKIPPED,,,,,,,65712.62000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:04:39Z,11,ENTRY,FILLED,7533679,0.00368000,241.84054720,,,,,ok side=BUY mode=long_first mass=242.31250000 soft=0 radar_dir=long radar_conf=0.7431 radar_reason=ok resonance_mode=NORMAL resonance_side=LONG resonance_lock=0.65060351 resonance_gate=ok structure_dir=long trend_bps=18.07633467
2026-02-27T23:04:52Z,11,EXIT,FILLED,7533760,0.00368000,241.84051040,-0.00003680,exit_fatigue,13,65717.53000000,ok side=SELL mode=long_first soft=0
