ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T23:37:27Z,1,SKIP,SKIPPED,,,,,,,65947.32000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:37:37Z,2,ENTRY,FILLED,7543865,0.00758000,499.84225500,,,,,ok side=SELL mode=short_first_spot mass=500.00000000 soft=0 radar_dir=short radar_conf=0.9999 radar_reason=ok resonance_mode=NORMAL resonance_side=SHORT resonance_lock=0.65463994 resonance_gate=ok structure_dir=neutral trend_bps=0
2026-02-27T23:38:23Z,2,EXIT,FILLED,7544049,0.00758000,499.65677240,0.18548260,exit_fatigue,46,65930.72000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T23:38:30Z,3,SKIP,SKIPPED,,,,,,,65917.78000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:38:36Z,4,SKIP,SKIPPED,,,,,,,65917.78000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64504896 lock_min=0.25 mkt_hz=0.10097926 struct_ok=false
2026-02-27T23:38:44Z,5,SKIP,SKIPPED,,,,,,,65917.18000000,radar_block reason=direction_unclear conf=0.1542 mom_bps=-0.09253952 spread_bps=0.00150000
2026-02-27T23:38:50Z,6,SKIP,SKIPPED,,,,,,,65917.18000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T23:38:57Z,7,SKIP,SKIPPED,,,,,,,65917.18000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00151706 spread_bps=0.00150000
2026-02-27T23:39:07Z,8,ENTRY,FILLED,7544176,0.00567000,373.68968490,,,,,ok side=SELL mode=short_first_spot mass=373.73312500 soft=0 radar_dir=short radar_conf=0.9999 radar_reason=ok resonance_mode=NORMAL resonance_side=SHORT resonance_lock=0.66533958 resonance_gate=ok structure_dir=neutral trend_bps=0
2026-02-27T23:41:27Z,8,EXIT,FILLED,7544897,0.00567000,373.66207200,0.02761290,exit_fatigue,140,65901.60000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T23:41:34Z,9,SKIP,SKIPPED,,,,,,,65901.60000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
