ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T22:51:17Z,1,SKIP,SKIPPED,,,,,,,65564.69000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.40 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:51:28Z,2,SKIP,SKIPPED,,,,,,,65552.34000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.40 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:51:39Z,3,SKIP,SKIPPED,,,,,,,65552.34000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:51:50Z,4,SKIP,SKIPPED,,,,,,,65595.53000000,tactic_mismatch mom=long structure=short trend_bps=-17.17198329
2026-02-27T22:52:02Z,5,SKIP,SKIPPED,,,,,,,65595.53000000,tactic_mismatch mom=long structure=short trend_bps=-9.68703314
2026-02-27T22:52:14Z,6,SKIP,SKIPPED,,,,,,,65604.52000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00152429 spread_bps=0.00150000
2026-02-27T22:52:26Z,7,SKIP,SKIPPED,,,,,,,65627.91000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:52:37Z,8,SKIP,SKIPPED,,,,,,,65627.91000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:52:50Z,9,SKIP,SKIPPED,,,,,,,65599.76000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00152440 spread_bps=0.00150000
2026-02-27T22:53:01Z,10,SKIP,SKIPPED,,,,,,,65585.29000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:53:12Z,11,SKIP,SKIPPED,,,,,,,65585.29000000,tactic_mismatch mom=short structure=long trend_bps=4.41848955
2026-02-27T22:53:23Z,12,SKIP,SKIPPED,,,,,,,65552.89000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:53:34Z,13,SKIP,SKIPPED,,,,,,,65579.13000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:53:45Z,14,SKIP,SKIPPED,,,,,,,65579.13000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:53:57Z,15,SKIP,SKIPPED,,,,,,,65579.13000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152488 spread_bps=0.00150000
2026-02-27T22:54:09Z,16,SKIP,SKIPPED,,,,,,,65583.13000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:54:20Z,17,SKIP,SKIPPED,,,,,,,65583.13000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:54:32Z,18,SKIP,SKIPPED,,,,,,,65602.53000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:54:44Z,19,SKIP,SKIPPED,,,,,,,65607.20000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:54:55Z,20,SKIP,SKIPPED,,,,,,,65607.20000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:55:07Z,21,SKIP,SKIPPED,,,,,,,65618.81000000,tactic_mismatch mom=short structure=long trend_bps=2.17972819
2026-02-27T22:55:18Z,22,SKIP,SKIPPED,,,,,,,65607.39000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:55:30Z,23,SKIP,SKIPPED,,,,,,,65607.39000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:55:41Z,24,SKIP,SKIPPED,,,,,,,65581.70000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152482 spread_bps=0.00150000
2026-02-27T22:55:52Z,25,SKIP,SKIPPED,,,,,,,65582.36000000,radar_block reason=direction_unclear conf=0.1677 mom_bps=0.10063783 spread_bps=0.00150000
2026-02-27T22:56:04Z,26,SKIP,SKIPPED,,,,,,,65582.36000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:56:15Z,27,SKIP,SKIPPED,,,,,,,65566.89000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:56:26Z,28,SKIP,SKIPPED,,,,,,,65552.14000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:56:38Z,29,SKIP,SKIPPED,,,,,,,65552.14000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:56:49Z,30,SKIP,SKIPPED,,,,,,,65523.25000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:57:00Z,31,SKIP,SKIPPED,,,,,,,65544.61000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00152568 spread_bps=0.00150000
2026-02-27T22:57:12Z,32,SKIP,SKIPPED,,,,,,,65544.61000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:57:23Z,33,SKIP,SKIPPED,,,,,,,65552.00000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:57:35Z,34,SKIP,SKIPPED,,,,,,,65552.00000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:57:46Z,35,SKIP,SKIPPED,,,,,,,65552.00000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:57:57Z,36,SKIP,SKIPPED,,,,,,,65568.82000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152512 spread_bps=0.00150000
2026-02-27T22:58:08Z,37,SKIP,SKIPPED,,,,,,,65568.82000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.40 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:58:19Z,38,SKIP,SKIPPED,,,,,,,65580.28000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:58:31Z,39,SKIP,SKIPPED,,,,,,,65592.00000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:58:42Z,40,SKIP,SKIPPED,,,,,,,65592.00000000,tactic_mismatch mom=long structure=short trend_bps=-3.38493750
