ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T17:53:06Z,1,SKIP,SKIPPED,,,,,,,65504.86000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:53:16Z,2,SKIP,SKIPPED,,,,,,,65565.50000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:53:27Z,3,SKIP,SKIPPED,,,,,,,65565.50000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=0.00152519 spread_bps=0.00150000
2026-02-27T17:53:37Z,4,SKIP,SKIPPED,,,,,,,65566.65000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:53:48Z,5,SKIP,SKIPPED,,,,,,,65608.01000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:53:59Z,6,SKIP,SKIPPED,,,,,,,65608.01000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:54:09Z,7,SKIP,SKIPPED,,,,,,,65567.88000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:54:20Z,8,SKIP,SKIPPED,,,,,,,65567.88000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:54:30Z,9,SKIP,SKIPPED,,,,,,,65578.55000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:54:41Z,10,SKIP,SKIPPED,,,,,,,65566.12000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T17:54:51Z,11,SKIP,SKIPPED,,,,,,,65566.12000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
