ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T19:52:09Z,1,SKIP,SKIPPED,,,,,,,65399.26000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:52:19Z,2,SKIP,SKIPPED,,,,,,,65399.26000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:52:29Z,3,SKIP,SKIPPED,,,,,,,65387.51000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:52:41Z,4,SKIP,SKIPPED,,,,,,,65377.30000000,tactic_mismatch mom=short structure=long trend_bps=12.23900809
2026-02-27T19:52:51Z,5,SKIP,SKIPPED,,,,,,,65377.30000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:53:01Z,6,SKIP,SKIPPED,,,,,,,65392.93000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:53:12Z,7,SKIP,SKIPPED,,,,,,,65392.93000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:53:22Z,8,SKIP,SKIPPED,,,,,,,65398.57000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152909 spread_bps=0.00150000
2026-02-27T19:53:32Z,9,SKIP,SKIPPED,,,,,,,65391.35000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:53:43Z,10,SKIP,SKIPPED,,,,,,,65391.35000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:53:54Z,11,SKIP,SKIPPED,,,,,,,65389.46000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:54:05Z,12,ENTRY,FILLED,7469335,0.00018000,11.77623180,,,,,ok side=BUY mode=long_first mass=12.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=10.81158208
2026-02-27T19:55:09Z,12,EXIT,FILLED,7469821,0.00018000,11.78052300,0.00429120,exit_stall,64,65447.36000000,ok side=SELL mode=long_first soft=0
2026-02-27T19:55:21Z,13,SKIP,SKIPPED,,,,,,,65426.43000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:55:31Z,14,SKIP,SKIPPED,,,,,,,65426.43000000,tactic_mismatch mom=short structure=long trend_bps=4.15448189
2026-02-27T19:55:43Z,15,SKIP,SKIPPED,,,,,,,65409.42000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:55:53Z,16,SKIP,SKIPPED,,,,,,,65427.45000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:56:04Z,17,SKIP,SKIPPED,,,,,,,65427.45000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152841 spread_bps=0.00150000
2026-02-27T19:56:14Z,18,SKIP,SKIPPED,,,,,,,65433.87000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:56:25Z,19,SKIP,SKIPPED,,,,,,,65433.87000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:56:36Z,20,SKIP,SKIPPED,,,,,,,65433.87000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:56:46Z,21,SKIP,SKIPPED,,,,,,,65412.47000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T19:56:57Z,22,SKIP,SKIPPED,,,,,,,65412.47000000,tactic_mismatch mom=short structure=long trend_bps=2.98809107
2026-02-27T19:57:08Z,23,SKIP,SKIPPED,,,,,,,65403.81000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152896 spread_bps=0.00150000
