ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T20:04:46Z,1,SKIP,SKIPPED,,,,,,,65532.80000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:04:57Z,2,SKIP,SKIPPED,,,,,,,65491.33000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:05:08Z,3,SKIP,SKIPPED,,,,,,,65491.33000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:05:19Z,4,SKIP,SKIPPED,,,,,,,65462.72000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:05:29Z,5,SKIP,SKIPPED,,,,,,,65462.72000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:05:40Z,6,SKIP,SKIPPED,,,,,,,65471.26000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152739 spread_bps=0.00150000
2026-02-27T20:05:52Z,7,ENTRY,FILLED,7473665,0.00018000,11.79036000,,,,,ok side=BUY mode=long_first mass=12.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok structure_dir=long trend_bps=2.12504784
2026-02-27T20:07:14Z,7,EXIT,FILLED,7474246,0.00018000,11.78968680,-0.00067320,exit_stall,82,65433.38000000,ok side=SELL mode=long_first soft=0
2026-02-27T20:07:25Z,8,SKIP,SKIPPED,,,,,,,65498.27000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=0.00152676 spread_bps=0.00150000
2026-02-27T20:07:36Z,9,SKIP,SKIPPED,,,,,,,65553.79000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152546 spread_bps=0.00150000
2026-02-27T20:07:46Z,10,SKIP,SKIPPED,,,,,,,65553.79000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:07:57Z,11,SKIP,SKIPPED,,,,,,,65576.91000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=-0.00152493 spread_bps=0.00150000
2026-02-27T20:08:07Z,12,SKIP,SKIPPED,,,,,,,65576.91000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:08:17Z,13,SKIP,SKIPPED,,,,,,,65576.92000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T20:08:28Z,14,SKIP,SKIPPED,,,,,,,65576.92000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
