ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T22:27:24Z,1,SKIP,SKIPPED,,,,,,,65491.59000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:27:35Z,2,SKIP,SKIPPED,,,,,,,65501.43000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:27:46Z,3,SKIP,SKIPPED,,,,,,,65501.43000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:27:58Z,4,SKIP,SKIPPED,,,,,,,65495.25000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:28:09Z,5,SKIP,SKIPPED,,,,,,,65495.25000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:28:21Z,6,SKIP,SKIPPED,,,,,,,65484.26000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:28:34Z,7,SKIP,SKIPPED,,,,,,,65473.14000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:28:45Z,8,SKIP,SKIPPED,,,,,,,65473.14000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:28:56Z,9,SKIP,SKIPPED,,,,,,,65454.08000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:29:10Z,10,ENTRY,FILLED,7519889,0.00763000,499.36045740,,,,,ok side=SELL mode=short_first_spot mass=500.00000000 soft=0 radar_dir=short radar_conf=0.9999 radar_reason=ok resonance_mode=NORMAL resonance_side=SHORT resonance_lock=0.65857003 resonance_gate=ok structure_dir=short trend_bps=-8.11055760
2026-02-27T22:29:28Z,10,EXIT,FILLED,7520044,0.00763000,499.41463040,-0.05417300,exit_fatigue,18,65454.08000000,ok side=BUY mode=short_first_spot soft=0
2026-02-27T22:29:39Z,11,SKIP,SKIPPED,,,,,,,65466.66000000,tactic_mismatch mom=long structure=short trend_bps=-8.11208415
2026-02-27T22:29:51Z,12,SKIP,SKIPPED,,,,,,,65466.66000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:30:02Z,13,SKIP,SKIPPED,,,,,,,65466.66000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:30:13Z,14,SKIP,SKIPPED,,,,,,,65466.66000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:30:24Z,15,SKIP,SKIPPED,,,,,,,65431.27000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:30:35Z,16,SKIP,SKIPPED,,,,,,,65431.27000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:30:47Z,17,SKIP,SKIPPED,,,,,,,65443.72000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:30:58Z,18,SKIP,SKIPPED,,,,,,,65418.01000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:31:09Z,19,SKIP,SKIPPED,,,,,,,65418.01000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:31:20Z,20,SKIP,SKIPPED,,,,,,,65418.01000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:31:31Z,21,SKIP,SKIPPED,,,,,,,65429.77000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:31:43Z,22,SKIP,SKIPPED,,,,,,,65429.77000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:31:54Z,23,SKIP,SKIPPED,,,,,,,65450.56000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:32:05Z,24,SKIP,SKIPPED,,,,,,,65449.89000000,tactic_mismatch mom=long structure=short trend_bps=-2.63266500
2026-02-27T22:32:17Z,25,SKIP,SKIPPED,,,,,,,65449.89000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:32:28Z,26,SKIP,SKIPPED,,,,,,,65451.25000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:32:39Z,27,SKIP,SKIPPED,,,,,,,65445.97000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:32:51Z,28,SKIP,SKIPPED,,,,,,,65445.97000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:02Z,29,SKIP,SKIPPED,,,,,,,65433.22000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:13Z,30,SKIP,SKIPPED,,,,,,,65432.19000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:25Z,31,SKIP,SKIPPED,,,,,,,65432.19000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:36Z,32,SKIP,SKIPPED,,,,,,,65421.24000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:47Z,33,SKIP,SKIPPED,,,,,,,65421.24000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:33:59Z,34,SKIP,SKIPPED,,,,,,,65414.01000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:34:11Z,35,SKIP,SKIPPED,,,,,,,65420.73000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152857 spread_bps=0.00150000
2026-02-27T22:34:22Z,36,SKIP,SKIPPED,,,,,,,65420.73000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.45 mkt_hz=0.10060000 struct_ok=false
2026-02-27T22:34:33Z,37,SKIP,SKIPPED,,,,,,,65411.86000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:34:45Z,38,SKIP,SKIPPED,,,,,,,65310.07000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:34:59Z,39,ENTRY,FILLED,7522048,0.00382000,248.08455200,,,,,ok side=SELL mode=short_first_spot mass=249.98272117 soft=1 radar_dir=short radar_conf=0.9999 radar_reason=ok resonance_mode=VENTURI resonance_side=SHORT resonance_lock=0.65358495 resonance_gate=ok structure_dir=short trend_bps=-16.14540341
2026-02-27T22:35:14Z,39,EXIT,FILLED,7522204,0.00382000,248.52266780,-0.43811580,stop_loss,15,65058.29000000,ok side=BUY mode=short_first_spot soft=1
2026-02-27T22:35:26Z,40,SKIP,SKIPPED,,,,,,,65058.29000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:35:37Z,41,SKIP,SKIPPED,,,,,,,65128.69000000,tactic_mismatch mom=long structure=short trend_bps=-49.89160410
2026-02-27T22:35:48Z,42,SKIP,SKIPPED,,,,,,,65128.69000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:01Z,43,SKIP,SKIPPED,,,,,,,65154.78000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:13Z,44,SKIP,SKIPPED,,,,,,,65167.84000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:24Z,45,SKIP,SKIPPED,,,,,,,65167.84000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:36Z,46,SKIP,SKIPPED,,,,,,,65229.04000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:47Z,47,SKIP,SKIPPED,,,,,,,65258.76000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:36:58Z,48,SKIP,SKIPPED,,,,,,,65258.76000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:37:10Z,49,SKIP,SKIPPED,,,,,,,65250.26000000,radar_block reason=momentum_too_small conf=0.0051 mom_bps=-0.00306512 spread_bps=0.00150000
2026-02-27T22:37:22Z,50,SKIP,SKIPPED,,,,,,,65261.49000000,radar_block reason=momentum_too_small conf=0.0026 mom_bps=0.00153230 spread_bps=0.00150000
2026-02-27T22:37:33Z,51,SKIP,SKIPPED,,,,,,,65261.49000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:37:45Z,52,SKIP,SKIPPED,,,,,,,65233.11000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:37:56Z,53,SKIP,SKIPPED,,,,,,,65252.32000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:38:07Z,54,SKIP,SKIPPED,,,,,,,65252.32000000,tactic_mismatch mom=short structure=long trend_bps=46.21239873
2026-02-27T22:38:19Z,55,SKIP,SKIPPED,,,,,,,65307.99000000,radar_block reason=momentum_too_small conf=0.0026 mom_bps=0.00153121 spread_bps=0.00150000
2026-02-27T22:38:30Z,56,SKIP,SKIPPED,,,,,,,65307.99000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:38:41Z,57,SKIP,SKIPPED,,,,,,,65308.68000000,radar_block reason=momentum_too_small conf=0.3381 mom_bps=0.00000000 spread_bps=0.54360000
2026-02-27T22:38:52Z,58,SKIP,SKIPPED,,,,,,,65299.84000000,tactic_mismatch mom=short structure=long trend_bps=55.66675459
2026-02-27T22:39:04Z,59,SKIP,SKIPPED,,,,,,,65299.84000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:39:15Z,60,SKIP,SKIPPED,,,,,,,65312.27000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:39:26Z,61,SKIP,SKIPPED,,,,,,,65309.65000000,radar_block reason=momentum_too_small conf=0.0026 mom_bps=0.00153117 spread_bps=0.00150000
2026-02-27T22:39:38Z,62,SKIP,SKIPPED,,,,,,,65309.65000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:39:50Z,63,SKIP,SKIPPED,,,,,,,65317.53000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:40:01Z,64,SKIP,SKIPPED,,,,,,,65301.74000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:40:12Z,65,SKIP,SKIPPED,,,,,,,65301.74000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T22:40:23Z,66,SKIP,SKIPPED,,,,,,,65319.49000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
