ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T21:53:07Z,1,SKIP,SKIPPED,,,,,,,65538.45000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.55 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:53:19Z,2,SKIP,SKIPPED,,,,,,,65552.05000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:53:31Z,3,SKIP,SKIPPED,,,,,,,65540.58000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:53:42Z,4,SKIP,SKIPPED,,,,,,,65540.58000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:53:54Z,5,SKIP,SKIPPED,,,,,,,65538.45000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:54:05Z,6,SKIP,SKIPPED,,,,,,,65533.78000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:54:17Z,7,SKIP,SKIPPED,,,,,,,65533.78000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=0.00152593 spread_bps=0.00150000
2026-02-27T21:54:29Z,8,SKIP,SKIPPED,,,,,,,65515.83000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:54:41Z,9,SKIP,SKIPPED,,,,,,,65515.83000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:54:52Z,10,SKIP,SKIPPED,,,,,,,65515.83000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:55:03Z,11,SKIP,SKIPPED,,,,,,,65467.46000000,radar_block reason=momentum_too_small conf=0.0025 mom_bps=-0.00152748 spread_bps=0.00150000
2026-02-27T21:55:15Z,12,SKIP,SKIPPED,,,,,,,65467.46000000,radar_block reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0.00150000
