ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T21:14:58Z,1,SKIP,SKIPPED,,,,,,,65577.22000000,structure_short_block_buy mom_bps=0.70303744 trend_bps=-9.12657462
2026-02-27T21:15:10Z,2,SKIP,SKIPPED,,,,,,,65577.22000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=0.00152492 spread_bps=0.00150000
2026-02-27T21:15:22Z,3,SKIP,SKIPPED,,,,,,,65603.33000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:15:34Z,4,SKIP,SKIPPED,,,,,,,65584.79000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:15:45Z,5,SKIP,SKIPPED,,,,,,,65584.79000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:15:57Z,6,SKIP,SKIPPED,,,,,,,65590.33000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:16:08Z,7,SKIP,SKIPPED,,,,,,,65590.33000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:16:20Z,8,SKIP,SKIPPED,,,,,,,65590.33000000,resonance_block reason=flat_side mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:16:32Z,9,ENTRY,FILLED,7496751,0.00762000,499.90705200,,,,,ok side=BUY mode=long_first mass=500.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok resonance_mode=NORMAL resonance_side=LONG resonance_lock=0.66256172 resonance_gate=ok structure_dir=long trend_bps=3.19331691
2026-02-27T21:17:45Z,9,EXIT,FILLED,7497333,0.00762000,500.04345000,0.13639800,exit_stall,73,65622.51000000,ok side=SELL mode=long_first soft=0
2026-02-27T21:17:57Z,10,SKIP,SKIPPED,,,,,,,65611.21000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
