ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T20:46:13Z,1,SKIP,SKIPPED,,,,,,,65624.16000000,resonance_block reason=mode_normal mode=NORMAL side=FLAT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:46:25Z,2,SKIP,SKIPPED,,,,,,,65636.36000000,resonance_block reason=mode_normal mode=NORMAL side=FLAT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:46:36Z,3,SKIP,SKIPPED,,,,,,,65636.36000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:46:48Z,4,SKIP,SKIPPED,,,,,,,65619.01000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:46:59Z,5,SKIP,SKIPPED,,,,,,,65619.01000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:47:11Z,6,SKIP,SKIPPED,,,,,,,65619.01000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:47:23Z,7,SKIP,SKIPPED,,,,,,,65655.32000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:47:35Z,8,SKIP,SKIPPED,,,,,,,65657.61000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:47:47Z,9,SKIP,SKIPPED,,,,,,,65657.61000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:47:58Z,10,SKIP,SKIPPED,,,,,,,65648.91000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:48:10Z,11,SKIP,SKIPPED,,,,,,,65619.01000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:48:21Z,12,SKIP,SKIPPED,,,,,,,65619.01000000,resonance_block reason=mode_normal mode=NORMAL side=FLAT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:48:33Z,13,SKIP,SKIPPED,,,,,,,65612.01000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:48:45Z,14,SKIP,SKIPPED,,,,,,,65616.75000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:48:57Z,15,SKIP,SKIPPED,,,,,,,65616.75000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:49:09Z,16,SKIP,SKIPPED,,,,,,,65626.93000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:49:20Z,17,SKIP,SKIPPED,,,,,,,65650.76000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:49:32Z,18,SKIP,SKIPPED,,,,,,,65650.76000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:49:43Z,19,SKIP,SKIPPED,,,,,,,65621.07000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:49:55Z,20,SKIP,SKIPPED,,,,,,,65621.07000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:50:07Z,21,SKIP,SKIPPED,,,,,,,65619.12000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:50:19Z,22,SKIP,SKIPPED,,,,,,,65657.34000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:50:30Z,23,SKIP,SKIPPED,,,,,,,65657.34000000,resonance_block reason=mode_normal mode=NORMAL side=LONG lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:50:41Z,24,SKIP,SKIPPED,,,,,,,65645.64000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
2026-02-27T20:50:53Z,25,SKIP,SKIPPED,,,,,,,65645.64000000,resonance_block reason=mode_normal mode=NORMAL side=SHORT lock=0.64500000 mkt_hz=0.10000000
