ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,exitReason,holdSec,refPrice,msg
2026-02-27T21:02:09Z,1,SKIP,SKIPPED,,,,,,,65520.12000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.64504908 lock_min=0.60 mkt_hz=0.10098156 struct_ok=false
2026-02-27T21:02:20Z,2,SKIP,SKIPPED,,,,,,,65520.12000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.64504908 lock_min=0.60 mkt_hz=0.10098152 struct_ok=false
2026-02-27T21:02:31Z,3,SKIP,SKIPPED,,,,,,,65526.61000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:02:43Z,4,SKIP,SKIPPED,,,,,,,65657.25000000,radar_block reason=momentum_too_small conf=0.0101 mom_bps=0.00152306 spread_bps=0.00150000
2026-02-27T21:02:55Z,5,SKIP,SKIPPED,,,,,,,65657.25000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:03:06Z,6,SKIP,SKIPPED,,,,,,,65599.25000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:03:18Z,7,SKIP,SKIPPED,,,,,,,65586.90000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:03:29Z,8,SKIP,SKIPPED,,,,,,,65586.90000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.67268415 lock_min=0.60 mkt_hz=0.65368301 struct_ok=false
2026-02-27T21:03:41Z,9,SKIP,SKIPPED,,,,,,,65601.42000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=LONG lock=0.64504905 lock_min=0.60 mkt_hz=0.10098109 struct_ok=false
2026-02-27T21:03:52Z,10,SKIP,SKIPPED,,,,,,,65598.96000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:04:04Z,11,SKIP,SKIPPED,,,,,,,65598.96000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.70389145 lock_min=0.60 mkt_hz=1.27782903 struct_ok=false
2026-02-27T21:04:16Z,12,SKIP,SKIPPED,,,,,,,65568.07000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:04:27Z,13,SKIP,SKIPPED,,,,,,,65605.52000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:04:39Z,14,SKIP,SKIPPED,,,,,,,65605.52000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:04:51Z,15,SKIP,SKIPPED,,,,,,,65587.18000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:05:02Z,16,SKIP,SKIPPED,,,,,,,65631.41000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:05:15Z,17,ENTRY,FILLED,7493583,0.00018000,11.82168180,,,,,ok side=BUY mode=long_first mass=12.00000000 soft=0 radar_dir=long radar_conf=0.9996 radar_reason=ok resonance_mode=NORMAL resonance_side=LONG resonance_lock=0.66682638 resonance_gate=ok structure_dir=long trend_bps=22.04513667
2026-02-27T21:06:12Z,17,EXIT,FILLED,7494036,0.00018000,11.82013740,-0.00154440,exit_stall,56,65667.44000000,ok side=SELL mode=long_first soft=0
2026-02-27T21:06:24Z,18,SKIP,SKIPPED,,,,,,,65667.44000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:06:35Z,19,SKIP,SKIPPED,,,,,,,65639.88000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:06:47Z,20,SKIP,SKIPPED,,,,,,,65666.10000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:06:58Z,21,SKIP,SKIPPED,,,,,,,65666.10000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:07:10Z,22,SKIP,SKIPPED,,,,,,,65650.36000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:07:21Z,23,SKIP,SKIPPED,,,,,,,65655.15000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:07:32Z,24,SKIP,SKIPPED,,,,,,,65655.15000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:07:44Z,25,SKIP,SKIPPED,,,,,,,65645.59000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:07:55Z,26,SKIP,SKIPPED,,,,,,,65649.82000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:08:06Z,27,SKIP,SKIPPED,,,,,,,65649.82000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:08:18Z,28,SKIP,SKIPPED,,,,,,,65639.76000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:08:29Z,29,SKIP,SKIPPED,,,,,,,65652.28000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:08:41Z,30,SKIP,SKIPPED,,,,,,,65652.28000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:08:53Z,31,SKIP,SKIPPED,,,,,,,65643.78000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64504904 lock_min=0.60 mkt_hz=0.10098084 struct_ok=false
2026-02-27T21:09:04Z,32,SKIP,SKIPPED,,,,,,,65648.28000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:09:16Z,33,SKIP,SKIPPED,,,,,,,65648.28000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:09:28Z,34,SKIP,SKIPPED,,,,,,,65634.50000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:09:40Z,35,SKIP,SKIPPED,,,,,,,65642.98000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:09:52Z,36,SKIP,SKIPPED,,,,,,,65647.42000000,radar_block reason=momentum_too_small conf=0.0102 mom_bps=0.00152329 spread_bps=0.00150000
2026-02-27T21:10:03Z,37,SKIP,SKIPPED,,,,,,,65647.42000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=FLAT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:10:15Z,38,SKIP,SKIPPED,,,,,,,65647.42000000,resonance_block reason=mode_normal_no_structure mode=NORMAL side=SHORT lock=0.64503000 lock_min=0.60 mkt_hz=0.10060000 struct_ok=false
2026-02-27T21:10:27Z,39,SKIP,SKIPPED,,,,,,,65639.62000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:10:38Z,40,SKIP,SKIPPED,,,,,,,65639.62000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:10:50Z,41,SKIP,SKIPPED,,,,,,,65639.62000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
2026-02-27T21:11:02Z,42,SKIP,SKIPPED,,,,,,,65632.51000000,radar_block reason=momentum_too_small conf=0.3499 mom_bps=0.00000000 spread_bps=0.00150000
