ts,cycle,mode,entry_side,entry_price,exit_price,qty,bps,pnl_usdt,reason,msg
2026-02-28T12:04:55Z,1,ORDER,BUY,63824.70000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:04:59Z,2,ORDER,SELL,63824.70000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:03Z,3,ORDER,BUY,63824.70000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:06Z,4,ORDER,SELL,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:10Z,5,ORDER,BUY,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:14Z,6,ORDER,SELL,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:17Z,7,ORDER,BUY,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:21Z,8,ORDER,SELL,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:24Z,9,ORDER,BUY,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:28Z,10,ORDER,SELL,63829.20000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:32Z,11,ORDER,BUY,63846.50000000,,0.00000000,,,skip_qty,qty<0.001
2026-02-28T12:05:37Z,12,ORDER,SELL,63846.50000000,,0.00000000,,,skip_qty,qty<0.001
