ts,cycle,mode,entry_side,entry_price,exit_price,qty,bps,pnl_usdt,reason,msg
2026-02-28T12:11:57Z,1,ORDER,BUY,63858.90000000,63856.70000000,0.01500000,-0.34450954,-0.03300000,hold_cycle,ok
2026-02-28T12:12:30Z,2,ORDER,SELL,63856.30000000,63861.60000000,0.01500000,-0.82998858,-0.07950000,hold_cycle,ok
2026-02-28T12:12:58Z,3,ORDER,BUY,63856.30000000,63865.10000000,0.01500000,1.37809425,0.13200000,hold_cycle,ok
2026-02-28T12:13:31Z,4,ORDER,SELL,63865.30000000,63872.60000000,0.01500000,-1.14303072,-0.10950000,hold_cycle,ok
2026-02-28T12:14:04Z,5,ORDER,BUY,63875.50000000,63856.30000000,0.01500000,-3.00584731,-0.28800000,hold_cycle,ok
2026-02-28T12:14:32Z,6,ORDER,SELL,63889.90000000,63890.00000000,0.01500000,-0.01565193,-0.00150000,hold_cycle,ok
2026-02-28T12:15:01Z,7,ORDER,BUY,63890.80000000,63902.90000000,0.01500000,1.89385639,0.18150000,hold_cycle,ok
2026-02-28T12:15:30Z,8,ORDER,SELL,63909.00000000,63919.40000000,0.01500000,-1.62731384,-0.15600000,hold_cycle,ok
2026-02-28T12:15:59Z,9,ORDER,BUY,63921.00000000,63934.30000000,0.01500000,2.08069336,0.19950000,hold_cycle,ok
2026-02-28T12:16:30Z,10,ORDER,SELL,63935.00000000,63922.60000000,0.01500000,1.93946977,0.18600000,hold_cycle,ok
2026-02-28T12:16:57Z,11,ORDER,BUY,63933.90000000,63940.10000000,0.01500000,0.96975157,0.09300000,hold_cycle,ok
2026-02-28T12:17:26Z,12,ORDER,SELL,63940.20000000,63934.50000000,0.01500000,0.89145796,0.08550000,hold_cycle,ok
