ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:33:07,ACE_DUO_CLEAN_V3_15M,BETA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:10,ACE_DUO_CLEAN_V3_15M,ALPHA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:15,ACE_DUO_CLEAN_V3_15M,BETA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:15,ACE_DUO_CLEAN_V3_15M,ALPHA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:20,ACE_DUO_CLEAN_V3_15M,BETA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:33:23,ACE_DUO_CLEAN_V3_15M,ALPHA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:26,ACE_DUO_CLEAN_V3_15M,BETA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:31,ACE_DUO_CLEAN_V3_15M,BETA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:39,ACE_DUO_CLEAN_V3_15M,BETA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2251,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:44,ACE_DUO_CLEAN_V3_15M,BETA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:47,ACE_DUO_CLEAN_V3_15M,ALPHA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:49,ACE_DUO_CLEAN_V3_15M,BETA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:57,ACE_DUO_CLEAN_V3_15M,BETA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:34:59,ACE_DUO_CLEAN_V3_15M,ALPHA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:06,ACE_DUO_CLEAN_V3_15M,ALPHA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:08,ACE_DUO_CLEAN_V3_15M,BETA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:11,ACE_DUO_CLEAN_V3_15M,ALPHA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:16,ACE_DUO_CLEAN_V3_15M,BETA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:17,ACE_DUO_CLEAN_V3_15M,ALPHA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:22,ACE_DUO_CLEAN_V3_15M,ALPHA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:23,ACE_DUO_CLEAN_V3_15M,BETA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:27,ACE_DUO_CLEAN_V3_15M,ALPHA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:28,ACE_DUO_CLEAN_V3_15M,BETA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:33,ACE_DUO_CLEAN_V3_15M,ALPHA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:33,ACE_DUO_CLEAN_V3_15M,BETA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:40,ACE_DUO_CLEAN_V3_15M,ALPHA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1237,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:41,ACE_DUO_CLEAN_V3_15M,BETA,16,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1237,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:46,ACE_DUO_CLEAN_V3_15M,ALPHA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:46,ACE_DUO_CLEAN_V3_15M,BETA,17,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:51,ACE_DUO_CLEAN_V3_15M,BETA,18,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:35:52,ACE_DUO_CLEAN_V3_15M,ALPHA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:36:00,ACE_DUO_CLEAN_V3_15M,BETA,19,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.3754,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:36:01,ACE_DUO_CLEAN_V3_15M,ALPHA,16,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.3754,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:37:00,ACE_DUO_CLEAN_V3_15M,BETA,21,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:37:06,ACE_DUO_CLEAN_V3_15M,BETA,22,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:37:16,ACE_DUO_CLEAN_V3_15M,BETA,23,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:37:21,ACE_DUO_CLEAN_V3_15M,BETA,24,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
15:37:26,ACE_DUO_CLEAN_V3_15M,BETA,25,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log
