ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:02:19Z,ACE_DUO_CLEAN_V4_15M,ALPHA,1,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:25Z,ACE_DUO_CLEAN_V4_15M,ALPHA,2,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:30Z,ACE_DUO_CLEAN_V4_15M,ALPHA,3,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:38Z,ACE_DUO_CLEAN_V4_15M,ALPHA,4,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=0.70308789 raw_mom_bps=0.00000000 spread_bps=13.99810000 tension=0.70308789 bid_drop=4.57007126 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:46Z,ACE_DUO_CLEAN_V4_15M,ALPHA,5,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=no_state mode=none;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:52Z,ACE_DUO_CLEAN_V4_15M,ALPHA,6,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00092633 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:02:59Z,ACE_DUO_CLEAN_V4_15M,ALPHA,7,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000083 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:03:06Z,ACE_DUO_CLEAN_V4_15M,ALPHA,8,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.01041051 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:03:13Z,ACE_DUO_CLEAN_V4_15M,ALPHA,9,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1399 mom_sig=0.16787858 raw_mom_bps=0.00000000 spread_bps=41.01590000 tension=0.16787858 bid_drop=0.00172327 ask_drop=1.09121079 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
2026-09-01T16:03:22Z,ACE_DUO_CLEAN_V4_15M,ALPHA,10,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=3.76087457 raw_mom_bps=-41.06702625 spread_bps=40.58340000 tension=3.76087457 bid_drop=24.44568470 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_ALPHA_X13_BURST13.csv
