ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T16:02:18Z,ACE_DUO_CLEAN_V4_15M,BETA,1,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:23Z,ACE_DUO_CLEAN_V4_15M,BETA,2,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:28Z,ACE_DUO_CLEAN_V4_15M,BETA,3,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:36Z,ACE_DUO_CLEAN_V4_15M,BETA,4,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.06849918 raw_mom_bps=0.00000000 spread_bps=41.50140000 tension=1.06849918 bid_drop=6.94524466 ask_drop=0.26761617 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:41Z,ACE_DUO_CLEAN_V4_15M,BETA,5,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:49Z,ACE_DUO_CLEAN_V4_15M,BETA,6,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:mom=long structure=short;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:02:56Z,ACE_DUO_CLEAN_V4_15M,BETA,7,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.84403454 raw_mom_bps=0.00000000 spread_bps=10.40030000 tension=2.84403454 bid_drop=18.48622452 ask_drop=0.16780662 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:07Z,ACE_DUO_CLEAN_V4_15M,BETA,8,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.13510629 raw_mom_bps=0.00000000 spread_bps=40.96460000 tension=2.13510629 bid_drop=13.87819090 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:12Z,ACE_DUO_CLEAN_V4_15M,BETA,9,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00003858 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
2026-09-01T16:03:22Z,ACE_DUO_CLEAN_V4_15M,BETA,10,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V4_15M_BETA_X5.csv
