trade_id,ts,symbol,side,qty,price,realized_pnl,commission,commission_asset,role
529547553,2026-08-21T07:32:57Z,BTCUSDT,SELL,0.00910000,76402.80,0.00000000,0.27810619,USDT,
529547557,2026-08-21T07:32:59Z,BTCUSDT,SELL,0.00380000,76402.80,0.00000000,0.11613225,USDT,
529547581,2026-08-21T07:33:06Z,BTCUSDT,BUY,0.00070000,76404.50,-0.00118999,0.02139326,USDT,
529547582,2026-08-21T07:33:06Z,BTCUSDT,BUY,0.01220000,76405.50,-0.03293999,0.37285884,USDT,
529547645,2026-08-21T07:33:30Z,BTCUSDT,SELL,0.00450000,76407.60,0.00000000,0.13753368,USDT,
529547650,2026-08-21T07:33:32Z,BTCUSDT,SELL,0.00200000,76407.60,0.00000000,0.06112608,USDT,
529547685,2026-08-21T07:33:40Z,BTCUSDT,BUY,0.00650000,76408.10,-0.00325000,0.19866106,USDT,
529547865,2026-08-21T07:34:00Z,BTCUSDT,BUY,0.00130000,76367.80,0.00000000,0.03971125,USDT,
529547866,2026-08-21T07:34:00Z,BTCUSDT,BUY,0.03790000,76368.30,0.00000000,1.15774342,USDT,
529547949,2026-08-21T07:34:03Z,BTCUSDT,BUY,0.03930000,76285.30,0.00000000,1.19920491,USDT,
529547985,2026-08-21T07:34:18Z,BTCUSDT,SELL,0.04230000,76284.00,-1.80785350,1.29072528,USDT,
529547986,2026-08-21T07:34:18Z,BTCUSDT,SELL,0.01500000,76284.00,-0.64108280,0.45770400,USDT,
529547987,2026-08-21T07:34:18Z,BTCUSDT,SELL,0.02120000,76283.90,-0.90818369,0.64688747,USDT,
529548063,2026-08-21T07:34:35Z,BTCUSDT,BUY,0.00100000,76331.40,0.00000000,0.03053256,USDT,
529548064,2026-08-21T07:34:35Z,BTCUSDT,BUY,0.00130000,76346.10,0.00000000,0.03969997,USDT,
529548065,2026-08-21T07:34:35Z,BTCUSDT,BUY,0.00130000,76374.50,0.00000000,0.03971474,USDT,
529548066,2026-08-21T07:34:35Z,BTCUSDT,BUY,0.01600000,76408.10,0.00000000,0.48901184,USDT,
529548076,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.00050000,76346.40,0.00000000,0.01526928,USDT,
529548077,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.00080000,76346.50,0.00000000,0.02443088,USDT,
529548078,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.00100000,76352.80,0.00000000,0.03054112,USDT,
529548079,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.00100000,76355.80,0.00000000,0.03054232,USDT,
529548080,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.00130000,76370.00,0.00000000,0.03971240,USDT,
529548081,2026-08-21T07:34:37Z,BTCUSDT,BUY,0.01500000,76408.10,0.00000000,0.45844860,USDT,
529548117,2026-08-21T07:34:45Z,BTCUSDT,SELL,0.00130000,76332.60,-0.08361653,0.03969295,USDT,
529548118,2026-08-21T07:34:45Z,BTCUSDT,SELL,0.00100000,76329.80,-0.06712040,0.03053192,USDT,
529548119,2026-08-21T07:34:45Z,BTCUSDT,SELL,0.00130000,76329.30,-0.08790653,0.03969123,USDT,
