funding_time,rate
1783987200000,0.00008256
1784016000002,0.00003489
1784044800001,0.00005590
1784073600005,0.00010000
1784102400002,0.00010000
1784131200000,0.00004457
1784160000000,0.00002426
1784188800003,0.00007584
1784217600002,0.00006102
1784246400000,0.00007639
1784275200010,0.00001520
1784304000004,0.00006045
1784332800000,0.00003074
1784361600000,0.00006955
1784390400001,0.00003326
1784419200003,0.00000406
1784448000000,0.00006905
1784476800001,0.00005235
1784505600000,0.00004890
1784534400001,0.00005278
1784563200004,0.00006518
1784592000001,0.00005400
1784620800000,0.00008926
1784649600002,0.00001894
1784678400000,0.00003928
1784707200000,0.00005448
1784736000001,0.00001443
1784764800000,-0.00000343
1784793600000,0.00000271
1784822400000,0.00008458
1784851200000,0.00007598
1784880000000,0.00005149
1784908800008,0.00005879
1784937600002,0.00006074
1784966400000,0.00005425
1784995200000,0.00000729
1785024000000,0.00003878
1785052800002,0.00005884
1785081600000,0.00005819
1785110400010,0.00006147
1785139200000,0.00006452
1785168000001,0.00005040
1785196800000,0.00004208
1785225600000,0.00000125
1785254400000,0.00006689
1785283200000,0.00010000
1785312000002,0.00010000
1785340800000,0.00003665
1785369600000,0.00008462
1785398400000,0.00007278
1785427200000,0.00009029
1785456000003,0.00010000
1785484800000,0.00009405
1785513600000,0.00005664
