open_time,open,high,low,close,volume,close_time
1783987200000,62307.00,62340.20,62287.40,62313.00,183.679,1783987259999
1783987260000,62313.00,62339.70,62306.90,62330.00,102.774,1783987319999
1783987320000,62330.00,62330.00,62290.00,62290.00,73.768,1783987379999
1783987380000,62290.10,62318.20,62275.50,62278.00,84.890,1783987439999
1783987440000,62278.10,62287.60,62266.60,62280.50,52.394,1783987499999
1783987500000,62280.60,62309.20,62259.40,62259.50,42.721,1783987559999
1783987560000,62259.60,62295.00,62240.90,62295.00,42.723,1783987619999
1783987620000,62295.00,62300.00,62241.90,62272.40,64.659,1783987679999
1783987680000,62272.50,62277.00,62257.60,62262.20,40.168,1783987739999
1783987740000,62262.20,62315.00,62262.20,62313.90,59.575,1783987799999
1783987800000,62314.00,62448.80,62314.00,62352.50,618.788,1783987859999
1783987860000,62352.50,62401.20,62350.20,62377.20,123.878,1783987919999
1783987920000,62377.30,62429.70,62374.40,62418.40,176.667,1783987979999
1783987980000,62418.50,62442.00,62398.60,62442.00,138.812,1783988039999
1783988040000,62441.90,62467.20,62405.40,62413.90,182.706,1783988099999
1783988100000,62413.80,62413.80,62350.10,62350.10,167.484,1783988159999
1783988160000,62350.00,62354.90,62336.20,62336.20,52.130,1783988219999
1783988220000,62336.20,62342.80,62323.80,62342.80,61.354,1783988279999
1783988280000,62342.90,62390.50,62342.80,62390.40,40.829,1783988339999
1783988340000,62390.50,62390.50,62335.70,62347.10,82.903,1783988399999
1783988400000,62347.20,62347.20,62289.50,62338.00,57.723,1783988459999
1783988460000,62338.00,62398.00,62325.50,62398.00,50.943,1783988519999
1783988520000,62397.90,62397.90,62354.60,62354.60,24.275,1783988579999
1783988580000,62354.70,62362.10,62321.60,62331.60,37.072,1783988639999
1783988640000,62331.60,62390.00,62330.00,62390.00,22.728,1783988699999
1783988700000,62389.90,62390.00,62355.90,62363.90,28.251,1783988759999
1783988760000,62364.00,62364.00,62303.00,62303.10,73.497,1783988819999
1783988820000,62303.00,62313.80,62290.90,62302.80,85.753,1783988879999
1783988880000,62302.80,62306.20,62282.00,62303.40,76.829,1783988939999
1783988940000,62303.40,62353.40,62303.40,62345.90,53.915,1783988999999
1783989000000,62345.90,62400.00,62336.70,62387.70,49.456,1783989059999
1783989060000,62387.60,62387.60,62358.00,62369.40,26.378,1783989119999
1783989120000,62369.50,62370.10,62345.00,62369.50,20.307,1783989179999
1783989180000,62369.50,62426.90,62359.60,62414.30,73.841,1783989239999
1783989240000,62414.20,62414.20,62358.80,62358.90,46.081,1783989299999
1783989300000,62358.80,62409.00,62358.80,62408.90,55.403,1783989359999
1783989360000,62408.90,62408.90,62342.20,62342.30,31.165,1783989419999
1783989420000,62342.20,62382.60,62342.20,62345.00,24.192,1783989479999
1783989480000,62345.00,62353.40,62309.90,62353.30,70.005,1783989539999
1783989540000,62353.40,62353.40,62331.70,62333.30,29.900,1783989599999
1783989600000,62333.40,62387.30,62333.40,62356.50,44.600,1783989659999
1783989660000,62356.50,62356.50,62306.10,62308.30,54.840,1783989719999
1783989720000,62308.30,62308.40,62287.00,62299.90,54.442,1783989779999
1783989780000,62299.90,62313.00,62283.00,62283.00,32.577,1783989839999
1783989840000,62283.00,62283.00,62258.30,62282.90,113.894,1783989899999
1783989900000,62283.00,62356.60,62282.90,62347.30,153.440,1783989959999
1783989960000,62347.30,62350.30,62321.10,62338.70,30.671,1783990019999
1783990020000,62338.70,62347.50,62323.30,62346.00,27.879,1783990079999
1783990080000,62345.90,62351.50,62324.20,62339.90,34.264,1783990139999
1783990140000,62339.80,62352.90,62321.70,62352.80,22.927,1783990199999
1783990200000,62352.80,62377.00,62348.80,62367.60,23.947,1783990259999
1783990260000,62367.70,62400.10,62349.10,62400.10,58.932,1783990319999
1783990320000,62400.10,62406.80,62353.30,62353.30,44.793,1783990379999
1783990380000,62353.30,62371.60,62335.90,62371.50,21.696,1783990439999
1783990440000,62371.50,62409.00,62371.50,62408.90,38.074,1783990499999
1783990500000,62408.90,62639.30,62393.30,62567.90,1373.428,1783990559999
1783990560000,62568.00,62568.00,62510.70,62515.70,121.658,1783990619999
1783990620000,62515.80,62549.50,62515.70,62519.70,84.479,1783990679999
1783990680000,62519.70,62526.70,62515.70,62526.10,58.134,1783990739999
1783990740000,62526.50,62537.50,62500.10,62520.70,180.945,1783990799999
1783990800000,62520.70,62550.00,62505.00,62505.00,141.083,1783990859999
1783990860000,62505.00,62505.10,62458.30,62466.00,123.727,1783990919999
