open_time,open,high,low,close,volume,close_time
1786752000000,63014.90,63015.10,63005.00,63005.00,36.809,1786752059999
1786752060000,63005.10,63020.00,63005.00,63020.00,27.741,1786752119999
1786752120000,63020.00,63039.00,63019.90,63028.80,46.715,1786752179999
1786752180000,63028.90,63028.90,63010.00,63010.10,29.736,1786752239999
1786752240000,63010.00,63010.10,62998.80,62998.90,26.436,1786752299999
1786752300000,62998.80,62998.90,62995.50,62995.50,11.118,1786752359999
1786752360000,62995.50,62995.50,62976.40,62989.20,38.730,1786752419999
1786752420000,62989.10,62989.20,62981.90,62985.30,27.934,1786752479999
1786752480000,62985.30,62999.80,62985.20,62999.80,11.037,1786752539999
1786752540000,62999.80,63005.90,62996.50,62996.50,22.848,1786752599999
1786752600000,62996.50,63005.40,62993.20,63005.30,14.834,1786752659999
1786752660000,63005.30,63005.40,62997.00,62997.10,24.927,1786752719999
1786752720000,62997.10,63004.50,62997.00,63004.50,7.419,1786752779999
1786752780000,63004.40,63004.50,62984.40,62984.40,13.672,1786752839999
1786752840000,62984.40,62989.60,62984.40,62989.50,10.546,1786752899999
1786752900000,62989.60,62989.60,62989.50,62989.60,8.130,1786752959999
1786752960000,62989.50,62989.60,62989.50,62989.50,5.141,1786753019999
1786753020000,62989.50,62989.60,62989.50,62989.50,5.983,1786753079999
1786753080000,62989.50,62998.60,62989.50,62998.60,27.296,1786753139999
1786753140000,62998.60,62998.60,62998.50,62998.60,2.068,1786753199999
1786753200000,62998.50,63003.50,62998.50,63003.50,14.327,1786753259999
1786753260000,63003.50,63007.00,63000.50,63000.50,21.003,1786753319999
1786753320000,63000.60,63000.60,63000.50,63000.60,7.280,1786753379999
1786753380000,63000.50,63000.60,62978.00,62990.70,39.603,1786753439999
1786753440000,62990.60,63000.60,62990.60,63000.60,40.993,1786753499999
1786753500000,63000.50,63000.60,63000.50,63000.60,3.238,1786753559999
1786753560000,63000.60,63000.60,62990.40,62990.50,11.613,1786753619999
1786753620000,62990.40,62990.40,62981.40,62981.50,9.006,1786753679999
1786753680000,62981.50,63005.00,62978.80,62979.10,107.155,1786753739999
1786753740000,62979.00,62987.70,62973.00,62987.70,22.519,1786753799999
1786753800000,62987.70,62995.20,62986.80,62995.10,30.530,1786753859999
1786753860000,62995.20,63001.60,62995.10,63001.40,18.020,1786753919999
1786753920000,63001.40,63001.50,62984.80,62998.00,42.633,1786753979999
1786753980000,62998.00,63000.30,62998.00,63000.20,11.770,1786754039999
1786754040000,63000.30,63000.30,62988.90,62993.00,12.196,1786754099999
1786754100000,62993.00,62993.00,62985.10,62985.10,9.406,1786754159999
1786754160000,62985.10,62991.90,62985.10,62991.90,10.070,1786754219999
1786754220000,62991.80,62991.90,62980.00,62980.00,10.033,1786754279999
1786754280000,62980.10,62980.10,62973.10,62973.10,7.752,1786754339999
1786754340000,62973.20,62991.40,62973.10,62991.30,34.575,1786754399999
1786754400000,62991.40,62993.10,62991.30,62993.00,10.712,1786754459999
1786754460000,62993.00,62993.10,62990.00,62990.10,6.262,1786754519999
1786754520000,62990.00,62990.10,62990.00,62990.10,1.614,1786754579999
1786754580000,62990.00,62990.10,62990.00,62990.00,8.314,1786754639999
1786754640000,62990.00,62995.00,62979.90,62995.00,18.704,1786754699999
1786754700000,62995.00,62999.80,62995.00,62999.70,8.841,1786754759999
1786754760000,62999.80,62999.80,62999.70,62999.70,3.021,1786754819999
1786754820000,62999.80,63009.30,62999.70,63009.30,18.472,1786754879999
1786754880000,63009.20,63009.30,62989.40,62989.50,13.883,1786754939999
1786754940000,62989.40,62989.50,62987.70,62987.80,2.189,1786754999999
1786755000000,62987.80,62987.80,62987.70,62987.70,6.662,1786755059999
1786755060000,62987.70,62987.80,62971.90,62971.90,24.783,1786755119999
1786755120000,62972.00,62976.90,62964.40,62976.90,30.280,1786755179999
1786755180000,62976.90,62976.90,62976.80,62976.90,7.957,1786755239999
1786755240000,62976.90,62976.90,62975.00,62975.00,7.118,1786755299999
1786755300000,62975.10,62975.10,62975.00,62975.10,4.059,1786755359999
1786755360000,62975.10,62986.20,62975.10,62986.20,9.868,1786755419999
1786755420000,62986.10,62998.60,62986.10,62998.60,23.744,1786755479999
1786755480000,62998.50,63000.00,62982.10,62982.10,20.220,1786755539999
1786755540000,62982.20,62991.70,62982.10,62991.70,7.990,1786755599999
1786755600000,62991.70,62991.80,62991.60,62991.80,4.849,1786755659999
1786755660000,62991.80,62991.80,62980.40,62980.50,13.819,1786755719999
1786755720000,62980.50,62980.50,62976.90,62976.90,6.081,1786755779999
1786755780000,62976.90,62977.00,62976.00,62976.00,7.310,1786755839999
1786755840000,62976.10,62976.10,62976.00,62976.10,5.112,1786755899999
1786755900000,62976.10,62976.10,62970.10,62970.10,17.503,1786755959999
1786755960000,62970.20,62970.20,62966.70,62966.70,13.935,1786756019999
1786756020000,62966.80,62966.80,62966.70,62966.70,4.285,1786756079999
1786756080000,62966.80,62984.50,62966.70,62984.50,32.065,1786756139999
1786756140000,62984.60,62984.60,62984.50,62984.50,2.371,1786756199999
1786756200000,62984.60,62987.30,62979.60,62979.70,13.648,1786756259999
1786756260000,62979.60,62983.20,62979.60,62983.20,7.974,1786756319999
1786756320000,62983.10,62999.80,62983.10,62999.80,13.090,1786756379999
1786756380000,63000.00,63006.50,62977.90,62978.00,78.937,1786756439999
1786756440000,62977.90,62989.50,62977.90,62989.50,22.817,1786756499999
1786756500000,62989.40,62989.50,62989.40,62989.50,5.199,1786756559999
1786756560000,62989.50,62989.50,62981.10,62981.10,8.954,1786756619999
1786756620000,62981.20,62981.20,62974.70,62974.70,10.096,1786756679999
1786756680000,62974.70,62974.80,62974.70,62974.80,6.576,1786756739999
1786756740000,62974.70,62974.80,62974.70,62974.80,3.072,1786756799999
1786756800000,62974.70,62983.00,62970.70,62982.90,33.895,1786756859999
1786756860000,62982.90,62982.90,62980.30,62980.70,13.079,1786756919999
1786756920000,62980.70,62980.70,62980.60,62980.70,4.534,1786756979999
1786756980000,62980.60,62987.40,62970.00,62987.30,47.047,1786757039999
1786757040000,62987.40,63015.00,62987.30,63014.90,24.895,1786757099999
1786757100000,63015.00,63015.00,63014.90,63015.00,11.269,1786757159999
1786757160000,63015.00,63015.00,63004.80,63004.90,12.098,1786757219999
1786757220000,63004.80,63011.70,63000.90,63011.70,18.545,1786757279999
1786757280000,63011.70,63015.00,62991.60,62992.90,66.736,1786757339999
1786757340000,62992.80,63014.20,62992.80,63014.20,37.149,1786757399999
1786757400000,63014.20,63015.00,63000.00,63000.00,30.448,1786757459999
1786757460000,63000.00,63000.10,62990.00,62990.10,10.645,1786757519999
1786757520000,62990.00,62990.10,62990.00,62990.10,3.107,1786757579999
1786757580000,62990.00,62999.70,62990.00,62999.70,12.570,1786757639999
1786757640000,62999.70,63015.00,62999.60,63015.00,32.116,1786757699999
1786757700000,63015.00,63015.00,63012.60,63012.60,7.949,1786757759999
1786757760000,63012.60,63014.80,63012.60,63014.70,11.327,1786757819999
1786757820000,63014.80,63014.80,63003.00,63003.10,12.786,1786757879999
1786757880000,63003.00,63003.10,63003.00,63003.00,4.850,1786757939999
1786757940000,63003.00,63010.80,63000.00,63010.80,36.933,1786757999999
1786758000000,63010.90,63013.90,63005.60,63005.70,12.989,1786758059999
1786758060000,63005.60,63005.70,62999.60,62999.60,8.396,1786758119999
1786758120000,62999.60,62999.70,62999.60,62999.70,4.434,1786758179999
1786758180000,62999.70,62999.80,62999.60,62999.80,6.813,1786758239999
1786758240000,62999.80,63006.00,62999.70,63005.90,10.710,1786758299999
1786758300000,63006.00,63006.00,63005.90,63005.90,3.436,1786758359999
1786758360000,63005.90,63006.00,63000.70,63000.80,13.709,1786758419999
1786758420000,63000.70,63000.80,62999.70,62999.80,11.445,1786758479999
1786758480000,62999.80,63000.70,62999.70,63000.70,13.919,1786758539999
1786758540000,63000.60,63000.70,62996.50,62996.50,10.932,1786758599999
1786758600000,62996.60,62996.60,62996.50,62996.60,1.257,1786758659999
1786758660000,62996.60,62999.90,62996.50,62999.80,8.342,1786758719999
1786758720000,62999.90,62999.90,62992.80,62993.50,14.111,1786758779999
1786758780000,62993.40,62998.90,62993.40,62998.90,8.619,1786758839999
1786758840000,62998.90,62998.90,62998.80,62998.90,5.905,1786758899999
1786758900000,62998.80,62998.90,62996.20,62996.20,3.524,1786758959999
1786758960000,62996.20,62996.30,62996.20,62996.30,5.371,1786759019999
1786759020000,62996.20,62999.00,62996.20,62999.00,8.915,1786759079999
1786759080000,62998.90,63006.00,62998.90,63006.00,11.276,1786759139999
1786759140000,63006.00,63010.80,63005.90,63010.70,6.178,1786759199999
1786759200000,63010.80,63015.00,63010.70,63014.90,11.572,1786759259999
1786759260000,63015.00,63017.80,63014.90,63017.80,16.726,1786759319999
1786759320000,63017.70,63017.80,63017.70,63017.80,6.273,1786759379999
1786759380000,63017.80,63017.80,63017.70,63017.80,8.864,1786759439999
1786759440000,63017.80,63031.90,63017.70,63031.90,16.471,1786759499999
