ts,stream,side,kind,px,pnlGross,msg
2026-09-02T17:26:00,ALPHA,LONG,ENTRY,77034.20,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-02T17:26:00,BETA,SHORT,ENTRY,77034.20,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-02T17:27:00,ALPHA,LONG,EXIT,77037.84,0.3856,trailing_stop net=-1.3744 hold=60s
2026-09-02T17:27:00,BETA,SHORT,EXIT,77019.78,1.5275,trailing_stop net=-0.2325 hold=60s
2026-09-02T17:31:00,ALPHA,LONG,ENTRY,77086.90,0.0000,H=1(SHADOW)
2026-09-02T17:31:00,BETA,SHORT,ENTRY,77086.90,0.0000,H=1(SHADOW)
2026-09-02T17:32:00,ALPHA,LONG,EXIT,77115.53,3.0328,trailing_stop net=+1.2728 hold=60s
2026-09-02T17:32:00,BETA,SHORT,EXIT,77077.24,1.0233,trailing_stop net=-0.7367 hold=60s
2026-09-02T17:36:00,ALPHA,LONG,ENTRY,77140.20,0.0000,H=1(SHADOW)
2026-09-02T17:36:00,BETA,SHORT,ENTRY,77140.20,0.0000,H=1(SHADOW)
2026-09-02T17:37:00,ALPHA,LONG,EXIT,77159.31,2.0243,trailing_stop net=+0.2643 hold=60s
2026-09-02T17:38:00,BETA,SHORT,EXIT,77133.69,0.6896,trailing_stop net=-1.0704 hold=120s
2026-09-02T17:41:00,ALPHA,LONG,ENTRY,77150.00,0.0000,H=1(SHADOW)
2026-09-02T17:41:00,BETA,SHORT,ENTRY,77150.00,0.0000,H=1(SHADOW)
2026-09-02T17:42:00,ALPHA,LONG,EXIT,77154.41,0.4672,trailing_stop net=-1.2928 hold=60s
2026-09-02T17:42:00,BETA,SHORT,EXIT,77122.98,2.8622,trailing_stop net=+1.1022 hold=60s
2026-09-02T17:46:00,ALPHA,LONG,ENTRY,77316.00,0.0000,H=1(SHADOW)
2026-09-02T17:46:00,BETA,SHORT,ENTRY,77316.00,0.0000,H=1(SHADOW)
2026-09-02T17:47:00,ALPHA,LONG,EXIT,77326.92,1.1568,trailing_stop net=-0.6032 hold=60s
2026-09-02T17:47:00,BETA,SHORT,EXIT,77291.57,2.5879,trailing_stop net=+0.8279 hold=60s
2026-09-02T17:51:00,ALPHA,LONG,ENTRY,77337.50,0.0000,H=1(SHADOW)
2026-09-02T17:51:00,BETA,SHORT,ENTRY,77337.50,0.0000,H=1(SHADOW)
2026-09-02T17:52:00,BETA,SHORT,EXIT,77324.13,1.4163,trailing_stop net=-0.3437 hold=60s
2026-09-02T17:56:00,BETA,SHORT,ENTRY,77317.30,0.0000,H=1(SHADOW)
2026-09-02T17:57:00,ALPHA,LONG,EXIT,77351.08,1.4385,trailing_stop net=-0.3215 hold=360s
2026-09-02T17:57:00,BETA,SHORT,EXIT,77297.00,2.1504,trailing_stop net=+0.3904 hold=60s
2026-09-02T18:01:00,ALPHA,LONG,ENTRY,77310.00,0.0000,H=1(SHADOW)
2026-09-02T18:01:00,BETA,SHORT,ENTRY,77310.00,0.0000,H=1(SHADOW)
2026-09-02T18:02:00,ALPHA,LONG,EXIT,77334.71,2.6175,trailing_stop net=+0.8575 hold=60s
2026-09-02T18:02:00,BETA,SHORT,EXIT,77291.31,1.9798,trailing_stop net=+0.2198 hold=60s
2026-09-02T18:06:00,ALPHA,LONG,ENTRY,77314.10,0.0000,H=1(SHADOW)
2026-09-02T18:06:00,BETA,SHORT,ENTRY,77314.10,0.0000,H=1(SHADOW)
2026-09-02T18:07:00,ALPHA,LONG,EXIT,77316.55,0.2595,trailing_stop net=-1.5005 hold=60s
2026-09-02T18:07:00,BETA,SHORT,EXIT,77300.94,1.3940,trailing_stop net=-0.3660 hold=60s
2026-09-02T18:11:00,ALPHA,LONG,ENTRY,77387.50,0.0000,H=1(SHADOW)
2026-09-02T18:11:00,BETA,SHORT,ENTRY,77387.50,0.0000,H=1(SHADOW)
2026-09-02T18:12:00,BETA,SHORT,EXIT,77374.55,1.3718,trailing_stop net=-0.3882 hold=60s
2026-09-02T18:13:00,ALPHA,LONG,EXIT,77387.99,0.0519,trailing_stop net=-1.7081 hold=120s
2026-09-02T18:16:00,ALPHA,LONG,ENTRY,77396.80,0.0000,H=1(SHADOW)
2026-09-02T18:16:00,BETA,SHORT,ENTRY,77396.80,0.0000,H=1(SHADOW)
2026-09-02T18:17:00,ALPHA,LONG,EXIT,77398.97,0.2299,trailing_stop net=-1.5301 hold=60s
